,Symbol,Company Name,Industry Code,Industry Name,Lot Size,Active,Year End,IDX WT %,FF BASED SHARES,ORD SHARES,FACE_VALUE,NSHARE_HOLDER
15,AHCL,Arif Habib Corporation Limited,809,FERTILIZER,500,1,6,0.22630409671028082,40837500.0,421696747.0,10.0,2924.0
16,AHL,Arif Habib Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1,6,0.022181610936945394,16335000.0,65340000.0,10.0,3065.0
17,AHTM,Ahmad Hassan Textile Mills Limited,829,TEXTILE COMPOSITE,500,1,6,0.003555300767635819,1270730.0,8471535.0,10.0,663.0
18,AICL,Adamjee Insurance Company Limited,812,INSURANCE,500,1,12,0.11077922938305497,262500000.0,350000000.0,10.0,
19,AIRLINK,Air Link Communication Limited,828,TECHNOLOGY & COMMUNICATION,1,1,6,0.4297025993015598,98817308.0,395269231.0,10.0,5797.0
20,AKBL,Askari Bank Limited,807,COMMERCIAL BANKS,500,1,12,0.43726656131703523,434789762.0,1449299207.0,10.0,
21,AKDHL,AKD Hospitality Limited,818,MISCELLANEOUS,1,1,6,0.0027909298858847047,1002909.0,2507273.0,10.0,792.0
22,AKDSL,AKD Securities Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1,6,0.0787885450305691,27891709.0,557834171.0,10.0,4092.0
23,AKGL,Al-Khair Gadoon Limited,818,MISCELLANEOUS,500,1,6,0.002899580325496686,1000000.0,10000000.0,10.0,320.0
24,ALAC,Askari Life Assurance Company Limited,812,INSURANCE,500,1,12,0.006073183766693285,52560205.0,150172014.0,10.0,
25,ALIFE,Adamjee Life Assurance Company Limited,812,INSURANCE,500,1,12,0.05709502575139198,25000000.0,250000000.0,10.0,
26,ALNRS,Al-Noor Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1,9,0.012494800468085227,6142111.0,20473702.0,10.0,
27,ALTN,Altern Energy Limited,824,POWER GENERATION & DISTRIBUTION,500,1,6,0.04993744071370666,90845000.0,363380000.0,10.0,
28,AMBL,Apna Microfinance Bank Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1,12,0.03273358830918799,21449248.0,428984962.0,10.0,
29,AMTEX,Amtex Limited,830,TEXTILE SPINNING,500,1,6,0.006493006106922552,116743560.0,259430134.0,10.0,3102.0
30,ANL,Azgard Nine Limited,829,TEXTILE COMPOSITE,1,1,6,0.03070538566627226,242704866.0,485409731.0,10.0,6342.0
31,ANSM,Ansari Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1,9,0.002488709619170072,25261450.0,56136657.0,10.0,
32,ANTM,AN Textile Mills Limited,829,TEXTILE COMPOSITE,500,1,6,0.0009788739003691507,1449000.0,9660000.0,10.0,939.0
33,APL,Attock Petroleum Limited,821,OIL & GAS MARKETING COMPANIES,1,1,6,0.4867523319252137,24883200.0,124416000.0,10.0,4317.0
34,ARCTM,Arctic Textile Mills Limited,830,TEXTILE SPINNING,500,1,6,0.0021111294955774434,2551500.0,13174800.0,10.0,1685.0
35,ARPAK,Arpak International Investments Ltd.,818,MISCELLANEOUS,500,1,6,0.001914333452791075,351556.0,4000000.0,10.0,592.0
36,ARPL,Archroma Pakistan Limited,805,CHEMICAL,1,1,9,0.11339273148959689,8640835.0,34563341.0,10.0,
37,ARUJ,Aruj Industries Limited,829,TEXTILE COMPOSITE,500,1,6,0.0008945430166611519,2402167.0,10457890.0,10.0,
38,ASC,Al Shaheer Corporation Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1,6,0.02317284048092556,371734105.0,374923537.0,10.0,
39,ASHT,Ashfaq Textile Mills Limited,831,TEXTILE WEAVING,500,1,6,0.004736326476394002,2328252.0,46565035.0,10.0,512.0
40,ASIC,Asia Insurance Company Limited,812,INSURANCE,500,1,12,0.009548480426663796,21902473.0,73008243.0,10.0,
41,ASL,Aisha Steel Mills Limited,808,ENGINEERING,1,1,6,0.06118132047595007,325505584.0,924800809.0,10.0,10998.0
42,ASTL,Amreli Steels Limited,808,ENGINEERING,1,1,6,0.05219376718098394,74252857.0,297011427.0,10.0,9012.0
43,ASTM,Asim Textile Mills Limited,830,TEXTILE SPINNING,500,1,6,0.0016699472085602931,2276550.0,15177000.0,10.0,1944.0
44,ATBA,Atlas Battery Limited,802,AUTOMOBILE PARTS & ACCESSORIES,1,1,6,0.09894556792113549,7003407.0,35017034.0,10.0,2687.0
45,ATIL,Atlas Insurance Limited,812,INSURANCE,500,1,6,0.06498641969161384,29883135.0,149415691.0,10.0,
46,ATRL,Attock Refinery Limited,825,REFINERY,1,1,6,0.4161707272686064,42646500.0,106616250.0,10.0,5892.0
47,AWTX,Allawasaya Tex. & Finishing Mills Ltd,830,TEXTILE SPINNING,1,1,6,0.007920676748515727,2851.0,800000.0,10.0,173.0
48,BAFL,Bank Alfalah Limited,807,COMMERCIAL BANKS,1,1,12,1.0010312311240512,709724304.0,1577165119.0,10.0,
49,BAFS,Baba Farid Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1,9,0.0032015945078207883,472500.0,9450000.0,10.0,
50,BAHL,Bank AL Habib Limited,807,COMMERCIAL BANKS,1,1,12,1.1487960776408526,777997791.0,1111425419.0,10.0,
51,BAPL,Bawany Air Products Limited,805,CHEMICAL,500,1,6,0.0018021579594980806,4501506.0,7502510.0,10.0,816.0
52,BATA,Bata Pakistan Limited,816,LEATHER & TANNERIES,1,1,12,0.10181647398745389,1786364.0,7560000.0,10.0,
53,BCL,Bolan Castings Limited,808,ENGINEERING,500,1,6,0.01040072725420535,6309891.0,11472529.0,10.0,1166.0
54,BECO,Beco Steel Limited,808,ENGINEERING,500,1,3,0.005959520319419126,24992502.0,124962510.0,10.0,1241.0
55,BERG,Berger Paints Pakistan Limited,805,CHEMICAL,500,1,6,0.020712393930303233,9820646.0,24551652.0,10.0,1857.0
56,BFMOD,B.F. Modaraba,819,MODARABAS,500,1,6,0.0004730898297587946,2254547.0,7515158.0,10.0,1157.0
57,BGL,Baluchistan Glass Limited,811,GLASS & CERAMICS,500,1,6,0.024272966820797857,39240000.0,261600000.0,10.0,3219.0
58,BHAT,Bhanero Textile Mills Limited,829,TEXTILE COMPOSITE,1,1,6,0.019071830349665603,152048.0,3040964.0,10.0,436.0
59,BIFO,Biafo Industries Limited,805,CHEMICAL,1,1,6,0.06742920418258244,13914806.0,46382688.0,10.0,1704.0
60,BILF,Bilal Fibres Limited,830,TEXTILE SPINNING,500,1,9,0.0017461806853358898,11925865.0,14100000.0,10.0,
61,BIPL,BankIslami Pakistan Limited,807,COMMERCIAL BANKS,1,1,12,0.19398624755413907,166305495.0,1108703299.0,10.0,
62,BML,Bank Makramah Limited,807,COMMERCIAL BANKS,500,1,3,0.14300183998934493,993333086.0,6622220576.0,10.0,
63,BNL,Bunnys Limited,810,FOOD & PERSONAL CARE PRODUCTS,500,1,6,0.007814558012834833,33402635.0,66805269.0,10.0,2879.0
64,BNWM,Bannu Woollen Mills Limited,835,WOOLLEN,500,1,6,0.0026947569281124844,4753125.0,9506250.0,10.0,1096.0
65,BOK,The Bank of Khyber,807,COMMERCIAL BANKS,500,1,12,0.13431490182721192,57902734.0,1158054673.0,10.0,
66,BOP,The Bank of Punjab,807,COMMERCIAL BANKS,1,1,12,0.2249222738372306,1381780202.0,3271569319.0,10.0,
67,BTL,Blessed Textiles Limited,829,TEXTILE COMPOSITE,1,1,6,0.011288218816649414,964800.0,6432000.0,10.0,679.0
68,BUXL,Buxly Paints Limited,805,CHEMICAL,1,1,6,0.002130660458212026,576000.0,1440000.0,10.0,
69,BWCL,Bestway Cement Limited,804,CEMENT,1,1,6,1.5593613265921082,29812639.0,596252783.0,10.0,8641.0
70,BWHL,Baluchistan Wheels Limited,802,AUTOMOBILE PARTS & ACCESSORIES,1,1,6,0.014553841551998839,7333838.0,13334250.0,10.0,1369.0
71,CASH,Calcorp Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1,9,0.0017216843668948086,1611662.0,10744413.0,10.0,781.0
72,CCM,Crescent Cotton Mills Limited,830,TEXTILE SPINNING,500,1,6,0.010428050820956785,10197057.0,22660123.0,10.0,1418.0
73,CENI,Century Insurance Company Limited,812,INSURANCE,500,1,12,0.016029693138973813,13831621.0,55326483.0,10.0,
74,CFL,Crescent Fibres Limited,830,TEXTILE SPINNING,500,1,6,0.0041663459848171255,3725363.0,12417876.0,10.0,1417.0
75,CHAS,Chashma Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1,9,0.01383222330161146,4303800.0,28692000.0,10.0,
76,CHBL,Chenab Limited,829,TEXTILE COMPOSITE,500,1,3,0.007450013817891288,38259738.0,115000000.0,10.0,
77,CHCC,Cherat Cement Company Limited,804,CEMENT,1,1,6,0.4435236490513871,116577023.0,194295038.0,10.0,4740.0
78,CJPL,Crescent Jute Products Limited,814,JUTE,500,1,6,0.0009283918723822495,10693561.0,23763468.0,10.0,2149.0
79,CLOV,Clover Pakistan Limited,810,FOOD & PERSONAL CARE PRODUCTS,500,1,6,0.01040847076438314,17128682.0,31143059.0,10.0,2287.0
80,CLVL,Cordoba Logistics & Ventures Limited,833,TRANSPORT,500,1,6,0.0087426286275121,14421040.0,72105200.0,10.0,1753.0
81,CNERGY,Cnergyico PK  Limited,825,REFINERY,1,1,6,0.23976873967691997,1648034271.0,5493447571.0,10.0,26610.0
82,COLG,Colgate-Palmolive (Pakistan) Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1,6,2.85103372925154,24277327.0,242773288.0,10.0,4518.0
83,CPHL,Citi Pharma Ltd.,823,PHARMACEUTICALS,1,1,6,0.08259600799800168,79961420.0,228461200.0,10.0,8686.0
84,CPPL,Cherat Packaging Limited,822,"PAPER, BOARD & PACKAGING",1,1,6,0.0514055168441487,29457236.0,49095396.0,10.0,1532.0
85,CRTM,The Crescent Textile Mills Limited,829,TEXTILE COMPOSITE,500,1,6,0.010644511984389149,60000000.0,100000000.0,10.0,2746.0
86,CSAP,Crescent Steel & Allied Products Limited,808,ENGINEERING,500,1,6,0.06071228274911019,34934621.0,77632491.0,10.0,3225.0
87,CSIL,Crescent Star Insurance Limited,812,INSURANCE,500,1,12,0.002695386800741793,106198638.0,107695041.0,10.0,
88,CTM,Colony Textile Mills Limited,830,TEXTILE SPINNING,500,1,6,0.02029228102312955,49800996.0,498010000.0,10.0,2793.0
89,CWSM,Chakwal Spinning Mills Limited,830,TEXTILE SPINNING,500,1,6,0.06909391168345544,26591521.0,121576200.0,5.0,
90,CYAN,Cyan Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1,12,0.01339653132995695,12311822.0,61558963.0,10.0,
91,DAAG,Data Agro Limited,805,CHEMICAL,500,1,6,0.0023471339687441595,800000.0,4000000.0,10.0,2200.0
92,DADX,Dadex Eternit Limited,808,ENGINEERING,500,1,6,0.004763796821503913,538200.0,10764000.0,10.0,3643.0
93,DAWH,Dawood Hercules Corporation Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,1,1,12,0.6351133448366495,336900981.0,481287116.0,10.0,
94,DCL,Dewan Cement Limited,804,CEMENT,500,1,6,0.03413269433679114,121028336.0,484113343.0,10.0,8046.0
95,DEL,Dawood Equities Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1,6,0.0019305100588175304,12375000.0,27500000.0,10.0,2698.0
96,DFML,Dewan Farooque Motors Limited,801,AUTOMOBILE ASSEMBLER,1,1,6,0.041751804469687834,55494097.0,138735242.0,10.0,
97,DFSM,Dewan Farooque Spinning Mills Limited,830,TEXTILE SPINNING,500,1,6,0.003095420368256216,34212754.0,97750726.0,10.0,2152.0
98,DGKC,D.G. Khan Cement Company Limited,804,CEMENT,1,1,6,0.2985683863292648,219059559.0,438119097.0,10.0,10700.0
99,DIIL,Diamond Industries Limited,818,MISCELLANEOUS,500,1,6,0.0013460157089937247,1350000.0,9000000.0,10.0,271.0
100,DINT,Din Textile Mills Limited,830,TEXTILE SPINNING,500,1,6,0.021934968304164342,7870012.0,52466750.0,10.0,854.0
101,DLL,Dawood Lawrencepur Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,1,1,12,0.09420299431205462,5929981.0,59299809.0,10.0,
102,DMTX,D.M. Textile Mills Limited,830,TEXTILE SPINNING,500,1,6,0.0010630131286850613,915729.0,3052400.0,10.0,337.0
103,DNCC,Dandot Cement Company Limited,804,CEMENT,500,1,6,0.028363792421713177,94906540.0,316355132.0,10.0,702.0
104,DOL,Descon Oxychem Limited,805,CHEMICAL,500,1,6,0.03276153774943702,52509325.0,175031084.0,10.0,
105,DSFL,Dewan Salman Fibre Limited,827,SYNTHETIC & RAYON,500,1,6,0.00245977926730244,146528433.0,366321085.0,10.0,
106,DSIL,D.S. Industries Limited,830,TEXTILE SPINNING,500,1,6,0.003780281574506061,66948505.0,83685631.0,10.0,1589.0
107,DSL,Dost Steels Limited,808,ENGINEERING,500,1,6,0.023481208888578443,333521683.0,444695577.0,10.0,
108,DWAE,Dewan Automotive Engineering Limited,802,AUTOMOBILE PARTS & ACCESSORIES,500,1,6,0.006613332284494678,3210000.0,21400000.0,10.0,1197.0
109,DWSM,Dewan Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1,9,0.0045388195133588575,18302398.0,91511992.0,10.0,
110,DWTM,Dewan Textile Mills Limited,830,TEXTILE SPINNING,500,1,6,0.0024147694560319216,2303230.0,46064609.0,10.0,320.0
111,DYNO,Dynea Pakistan Limited,805,CHEMICAL,1,1,6,0.03262009589671152,12267068.0,18872400.0,5.0,1523.0
112,ECOP,Ecopack Limited,818,MISCELLANEOUS,500,1,6,0.008775031413003093,38606734.0,48258419.0,10.0,2224.0
113,EFERT,Engro Fertilizers Limited,809,FERTILIZER,1,1,12,2.0541978153468556,600884719.0,1335299375.0,10.0,
114,EFGH,EFG Hermes Pakistan Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1,3,,,,10.0,
115,EFUG,EFU General Insurance Limited,812,INSURANCE,500,1,12,0.20945652614443167,50000000.0,200000000.0,10.0,
116,EFUL,EFU Life Assurance Limited,812,INSURANCE,1,1,12,0.14024201767991762,10500000.0,105000000.0,10.0,
117,ELCM,Elahi Cotton Mills Limited,830,TEXTILE SPINNING,500,1,6,0.000845647340982027,260000.0,1300000.0,10.0,137.0
118,ELSM,Ellcot Spinning Mills Limited,830,TEXTILE SPINNING,500,1,6,0.007937601141047178,3285000.0,10950000.0,10.0,479.0
119,EMCO,Emco Industries Limited,803,CABLE & ELECTRICAL GOODS,500,1,6,0.008546050175337737,10500000.0,34999667.0,10.0,749.0
120,ENGRO,Engro Corporation Limited,809,FERTILIZER,1,1,12,1.4662763518241273,268313234.0,536626468.0,10.0,
121,EPCL,Engro Polymer & Chemicals Limited,805,CHEMICAL,1,1,12,0.2576544324759859,227230833.0,908923333.0,10.0,
122,EPQL,Engro Powergen Qadirpur Limited,824,POWER GENERATION & DISTRIBUTION,500,1,12,0.06722904372805381,97140000.0,323800000.0,10.0,
123,ESBL,Escorts Investment Bank Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1,6,0.0072428464341090905,20340000.0,135600000.0,10.0,936.0
124,EXIDE,Exide Pakistan Limited,802,AUTOMOBILE PARTS & ACCESSORIES,1,1,3,0.049991712495315525,1942155.0,7768618.0,10.0,2043.0
125,FABL,Faysal Bank Limited,807,COMMERCIAL BANKS,1,1,12,0.5584235095436713,379424131.0,1517696526.0,10.0,
126,FANM,First Al-Noor Modaraba,819,MODARABAS,500,1,6,0.0005816710742437167,12705000.0,23100000.0,10.0,544.0
127,FASM,Faisal Spinning Mills Limited,829,TEXTILE COMPOSITE,1,1,6,0.01768896608043794,1000000.0,10000000.0,10.0,803.0
128,FATIMA,Fatima Fertilizer Company Limited,809,FERTILIZER,1,1,12,1.1614192689031568,315000000.0,2100000000.0,10.0,
129,FCCL,Fauji Cement Company Limited,804,CEMENT,1,1,6,0.721329603719027,858496527.0,2452847220.0,10.0,13139.0
