Symbol,Year End,Month
FATIMA,Dec,12
FCCL,Jun,6
FCEL,Jun,6
FCEPL,Dec,12
FCIBL,Jun,6
FCSC,Jun,6
FDPL,Jun,6
FECM,Jun,6
FECTC,Jun,6
FEM,Sep,9
FEROZ,Jun,6
FFBL,Dec,12
FFC,Dec,12
FFL,Dec,12
FFLM,Jun,6
FIBLM,Jun,6
FIL,Jun,6
FIMM,Jun,6
FLYNG,Jun,6
FML,Jun,6
FPJM,Dec,12
FRCL,Jun,6
FRSM,Sep,9
FSWL,Jun,6
FTMM,Jun,6
FTSM,Jun,6
FUDLM,Jun,6
FZCM,Jun,6
GADT,Jun,6
GAL,Mar,3
GAMON,Jun,6
GATI,Jun,6
GATM,Jun,6
GCIL,Jun,6
GEMPAPL,Jun,6
GEMSPNL,Jun,6
GFIL,Jun,6
GGGL,Jun,6
GGL,Jun,6
GHGL,Jun,6
GHNI,Jun,6
GIL,Jun,6
GLAXO,Dec,12
GLPL,Jun,6
GOC,Jun,6
GRR,Jun,6
GRYL,Jun,6
GSPM,Mar,3
GUSM,Mar,3
GUTM,Mar,3
GVGL,Jun,6
GWLC,Jun,6
HABSM,Sep,9
HAEL,Mar,3
HAFL,Jun,6
HALEON,Sep,9
HALEON (GSKCH),Sep,9
HASCOL,Dec,12
HATM,Jun,6
HCAR,Mar,3
HCL,Jun,6
HICL,Dec,12
HINO,Mar,3
HINOON,Dec,12
HIRAT,Jun,6
HMB,Sep,9
HMIM,Jun,6
HPL,Jun,6
HRPL,Jun,6
HTL,Jun,6
HUBC,Jun,6
HUMNL,Jun,6
HUSI,Jun,6
HWQS,Dec,12
IBFL,Dec,12
IBLHL,Jun,6
ICCI,Jun,12
ICIBL,Jun,6
ICL,Jun,6
IDRT,Jun,6
IDSM,Jun,6
IDYM,Jun,6
IGIHL,Dec,12
IGIL,Dec,12
ILP,Jun,6
IMAGE,Jun,6
IML,Jun,6
INDU,Jun,6
INIL,Jun,6
INKL,Jun,6
ISIL,Jun,6
ISL,Jun,6
ITTEFAQ,Jun,6
JATM,Jun,6
JDMT,Jun,6
JDWS,Sep,9
JGICL,Dec,12
JKSM,Jun,6
JLIC,Dec,12
JOPP,Sep,9
JSBL,Dec,12
JSCL,Dec,12
JSGBETF,Jun,6
JSIL,Dec,12
JSML,Sep,9
JUBS,Jun,6
JVDC,Jun,6
KAPCO,Jun,6
KCL,Jun,6
KEL,Jun,6
KHTC,Sep,9
KHYT,Jun,6
KML,Jun,6
KOHC,Jun,6
KOHE,Jun,6
KOHP,Jun,6
KOHTM,Jun,6
KOIL,Jun,6
KPUS,Sep,9
KSBP,Dec,12
KSTM,Jun,6
KTML,Jun,6
