,SECTOR NAME,SEC CODE
0,Cement,S0005
1,Oil and Gas Exploration Companies,S0019
2,Oil and Gas Marketing Companies,S0020
3,All other Sectors,S1111
4,Fertilizer,S0007
5,Food and Personal Care Products,S0008
6,Power Generation and Distribution,S0023
7,Commercial Banks,S0026
8,Technology and Communication,S0028
9,Textile Composite,S0029
10,Debt Market,S0036
11,,
