"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"FOREIGN CORPORATES ","S0005","Cement","REGULAR","673,075","17,056,789","(23,533)","(9,309,688)","649,542","7,747,101","27,668"
"FOREIGN CORPORATES ","S0007","Fertilizer","REGULAR","15,132","1,325,342","(19,837)","(1,734,468)","(4,705)","(409,126)","(1,461)"
"FOREIGN CORPORATES ","S0019","Oil and Gas Exploration Companies","REGULAR","831,708","63,239,264","0","0","831,708","63,239,264","225,854"
"FOREIGN CORPORATES ","S0020","Oil and Gas Marketing Companies","REGULAR","0","0","(36,122)","(3,795,504)","(36,122)","(3,795,504)","(13,555)"
"FOREIGN CORPORATES ","S0023","Power Generation and Distribution","REGULAR","0","0","(68,156)","(1,721,714)","(68,156)","(1,721,714)","(6,148)"
"FOREIGN CORPORATES ","S0026","Commercial Banks","REGULAR","1,475,523","128,780,273","(2,758,482)","(273,107,400)","(1,282,959)","(144,327,127)","(515,454)"
"FOREIGN CORPORATES ","S0028","Technology and Communication","REGULAR","37,000","2,626,762","(398)","(183,586)","36,602","2,443,176","8,725"
"FOREIGN CORPORATES ","S1111","All other Sectors","REGULAR","7,045","322,884","(998)","(524,925)","6,047","(202,040)","(721)"
"","","","TOTAL","3,039,483","213,351,314","(2,907,526)","(290,377,285)","131,957","(77,025,970)","(275,092)"
"FOREIGN INDIVIDUAL","S0028","Technology and Communication","FUTURE CONTRACT-APR","1,000","464,240","0","0","1,000","464,240","1,658"
"FOREIGN INDIVIDUAL","S0008","Food and Personal Care Products","REGULAR","630,830","4,850,774","0","0","630,830","4,850,774","17,324"
"FOREIGN INDIVIDUAL","S0020","Oil and Gas Marketing Companies","REGULAR","8,000","618,787","0","0","8,000","618,787","2,209"
"FOREIGN INDIVIDUAL","S0026","Commercial Banks","REGULAR","1,000","75,670","0","0","1,000","75,670","270"
"FOREIGN INDIVIDUAL","S1111","All other Sectors","REGULAR","500","42,750","(75,000)","(3,415,077)","(74,500)","(3,372,327)","(12,044)"
"","","","TOTAL","641,330","6,052,221","(75,000)","(3,415,077)","566,330","2,637,144","9,417"
"OVERSEAS PAKISTANI","S0005","Cement","FUTURE CONTRACT-APR","56,000","3,349,670","(255,000)","(25,897,385)","(199,000)","(22,547,715)","(80,527)"
"OVERSEAS PAKISTANI","S0007","Fertilizer","FUTURE CONTRACT-APR","10,500","3,187,560","(40,500)","(5,174,050)","(30,000)","(1,986,490)","(7,094)"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","FUTURE CONTRACT-APR","217,500","2,100,510","(281,000)","(2,725,050)","(63,500)","(624,540)","(2,230)"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","FUTURE CONTRACT-APR","33,000","2,867,645","(133,500)","(9,997,230)","(100,500)","(7,129,585)","(25,462)"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","FUTURE CONTRACT-APR","0","0","(20,500)","(1,022,860)","(20,500)","(1,022,860)","(3,653)"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","FUTURE CONTRACT-APR","25,000","1,773,475","(1,500)","(53,360)","23,500","1,720,115","6,143"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","FUTURE CONTRACT-APR","2,000","90,720","(34,000)","(1,278,725)","(32,000)","(1,188,005)","(4,242)"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","FUTURE CONTRACT-APR","56,000","2,409,785","(353,500)","(17,132,625)","(297,500)","(14,722,840)","(52,581)"
"OVERSEAS PAKISTANI","S1111","All other Sectors","FUTURE CONTRACT-APR","243,500","5,573,025","(520,500)","(12,810,040)","(277,000)","(7,237,015)","(25,846)"
"OVERSEAS PAKISTANI","S0005","Cement","FUTURE CONTRACT-MAY","179,000","23,120,770","(500)","(13,350)","178,500","23,107,420","82,526"
"OVERSEAS PAKISTANI","S0007","Fertilizer","FUTURE CONTRACT-MAY","8,000","2,472,180","(3,000)","(919,050)","5,000","1,553,130","5,546"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","FUTURE CONTRACT-MAY","100,500","596,555","0","0","100,500","596,555","2,130"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","FUTURE CONTRACT-MAY","1,000","68,330","(1,000)","(68,430)","0","(100)","0"
