"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"FOREIGN CORPORATES ","S0005","Cement","REGULAR","190,030","3,691,087","0","0","190,030","3,691,087","14,306"
"FOREIGN CORPORATES ","S0007","Fertilizer","REGULAR","0","0","(71,699)","(7,309,948)","(71,699)","(7,309,948)","(28,333)"
"FOREIGN CORPORATES ","S0019","Oil and Gas Exploration Companies","REGULAR","163,265","10,853,713","(526)","(756,254)","162,739","10,097,459","39,137"
"FOREIGN CORPORATES ","S0020","Oil and Gas Marketing Companies","REGULAR","85,720","10,223,062","0","0","85,720","10,223,062","39,624"
"FOREIGN CORPORATES ","S0026","Commercial Banks","REGULAR","4,893","339,998","(3,033)","(72,523)","1,860","267,474","1,036"
"FOREIGN CORPORATES ","S0028","Technology and Communication","REGULAR","78,771","39,048,084","(30,507)","(15,108,388)","48,264","23,939,696","92,789"
"FOREIGN CORPORATES ","S0029","Textile Composite","REGULAR","1,379,900","68,994,701","0","0","1,379,900","68,994,701","267,421"
"","","","TOTAL","1,902,579","133,150,645","(105,765)","(23,247,113)","1,796,814","109,903,531","425,980"
"FOREIGN INDIVIDUAL","S0020","Oil and Gas Marketing Companies","REGULAR","100","29,940","0","0","100","29,940","116"
"FOREIGN INDIVIDUAL","S0023","Power Generation and Distribution","REGULAR","0","0","(100,000)","(6,977,150)","(100,000)","(6,977,150)","(27,043)"
"","","","TOTAL","100","29,940","(100,000)","(6,977,150)","(99,900)","(6,947,210)","(26,927)"
"OVERSEAS PAKISTANI","S0005","Cement","FUTURE CONTRACT-MAR","334,000","14,566,225","(864,000)","(20,524,440)","(530,000)","(5,958,215)","(23,093)"
"OVERSEAS PAKISTANI","S0007","Fertilizer","FUTURE CONTRACT-MAR","15,000","188,750","(4,500)","(56,125)","10,500","132,625","514"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","FUTURE CONTRACT-MAR","30,000","396,300","(22,000)","(294,650)","8,000","101,650","393"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","FUTURE CONTRACT-MAR","63,500","5,312,085","(8,500)","(641,005)","55,000","4,671,080","18,104"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","FUTURE CONTRACT-MAR","300,500","17,018,955","(47,500)","(4,180,180)","253,000","12,838,775","49,762"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","FUTURE CONTRACT-MAR","138,500","9,715,360","(116,000)","(8,225,925)","22,500","1,489,435","5,773"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","FUTURE CONTRACT-MAR","30,000","124,350","0","0","30,000","124,350","481"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","FUTURE CONTRACT-MAR","307,500","24,743,935","(239,500)","(26,639,100)","68,000","(1,895,165)","(7,345)"
"OVERSEAS PAKISTANI","S0029","Textile Composite","FUTURE CONTRACT-MAR","55,500","2,698,975","(3,500)","(168,725)","52,000","2,530,250","9,807"
"OVERSEAS PAKISTANI","S1111","All other Sectors","FUTURE CONTRACT-MAR","397,000","15,843,975","(900,500)","(19,509,725)","(503,500)","(3,665,750)","(14,208)"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","OFF-MARKET","498","46,861","0","0","498","46,861","181"
"OVERSEAS PAKISTANI","S0029","Textile Composite","OFF-MARKET","111,000","99,900,000","0","0","111,000","99,900,000","387,209"
"OVERSEAS PAKISTANI","S1111","All other Sectors","OFF-MARKET","1,430,000","17,040,000","0","0","1,430,000","17,040,000","66,046"
"OVERSEAS PAKISTANI","S0005","Cement","REGULAR","731,013","13,453,366","(488,676)","(14,547,901)","242,337","(1,094,535)","(4,242)"
"OVERSEAS PAKISTANI","S0007","Fertilizer","REGULAR","67,362","4,447,518","(32,810)","(6,389,220)","34,552","(1,941,702)","(7,525)"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","REGULAR","111,790","2,433,331","(66,710)","(1,464,318)","45,080","969,013","3,755"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","REGULAR","182,226","19,004,746","(205,424)","(16,782,765)","(23,198)","2,221,981","8,612"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","REGULAR","466,166","37,413,330","(135,578)","(8,546,177)","330,588","28,867,152","111,888"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","REGULAR","1,402,682","83,179,624","(1,603,333)","(29,489,147)","(200,651)","53,690,477","208,102"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","REGULAR","268,048","6,685,860","(329,064)","(15,495,725)","(61,016)","(8,809,864)","(34,146)"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","REGULAR","2,143,092","21,541,127","(1,696,573)","(14,240,044)","446,519","7,301,082","28,298"
"OVERSEAS PAKISTANI","S0029","Textile Composite","REGULAR","50,445","1,081,097","(24,317)","(514,607)","26,128","566,490","2,195"
"OVERSEAS PAKISTANI","S1111","All other Sectors","REGULAR","2,779,524","60,697,279","(1,985,239)","(52,005,162)","794,285","8,692,117","33,690"
"","","","TOTAL","11,415,346","457,533,049","(8,773,724)","(239,714,941)","2,641,622","217,818,107","844,251"
" ","---","---","GRAND-TOTAL","13,318,025","590,713,643","(8,979,489)","(269,939,211)","4,338,536","320,774,432","1,243,311"
