"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S0007","Fertilizer","OMKT","100,000","9,980,000","0","0","100,000","9,980,000","57,356"
"BANKS / DFI","S0005","Cement","REG","311,000","38,120,388","(109,400)","(18,233,721)","201,600","19,886,667","114,291"
"BANKS / DFI","S0007","Fertilizer","REG","500,000","11,535,000","(360,012)","(37,017,440)","139,988","(25,482,440)","(146,450)"
"BANKS / DFI","S0008","Food and Personal Care Products","REG","350,000","11,198,872","0","0","350,000","11,198,872","64,361"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","REG","584,545","68,389,582","(195,044)","(47,921,500)","389,501","20,468,081","117,632"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","REG","0","0","(17,600)","(5,741,750)","(17,600)","(5,741,750)","(32,998)"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","5,000","117,400","(250,000)","(19,350,642)","(245,000)","(19,233,242)","(110,535)"
"BANKS / DFI","S0026","Commercial Banks","REG","981,350","107,311,151","(2,436,350)","(286,164,770)","(1,455,000)","(178,853,618)","(1,027,894)"
"BANKS / DFI","S0028","Technology and Communication","REG","1,095,500","113,016,500","(1,090,000)","(16,543,150)","5,500","96,473,350","554,444"
"BANKS / DFI","S0029","Textile Composite","REG","900,000","56,606,409","(496,500)","(26,639,105)","403,500","29,967,304","172,225"
"BANKS / DFI","S1111","All other Sectors","REG","291,500","22,921,230","(3,773,000)","(247,827,745)","(3,481,500)","(224,906,514)","(1,292,566)"
"","","","TOTAL","5,118,895","439,196,532","(8,727,906)","(705,439,823)","(3,609,011)","(266,243,290)","(1,530,134)"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","745,000","65,784,785","(415,500)","(43,656,665)","329,500","22,128,120","127,173"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","52,000","7,022,590","(46,500)","(7,099,980)","5,500","(77,390)","(444)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","2,801,500","88,301,350","(1,616,500)","(49,282,675)","1,185,000","39,018,675","224,245"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","173,000","14,696,910","(132,500)","(11,200,005)","40,500","3,496,905","20,097"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","124,000","8,378,960","(17,000)","(2,706,985)","107,000","5,671,975","32,597"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","FUT","227,000","12,715,760","(93,500)","(3,934,500)","133,500","8,781,260","50,467"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","FUT","1,056,000","14,159,060","(1,376,500)","(25,772,785)","(320,500)","(11,613,725)","(66,745)"
