"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S0029","Textile Composite","FUT","0","0","(25,000)","(1,175,000)","(25,000)","(1,175,000)","(6,564)"
"BANKS / DFI","S0005","Cement","REG","171,669","43,901,200","(91,769)","(22,450,736)","79,900","21,450,463","119,834"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","REG","197,530","16,597,564","(75,000)","(6,529,938)","122,530","10,067,625","56,243"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","0","0","(1,075,465)","(78,240,528)","(1,075,465)","(78,240,528)","(437,097)"
"BANKS / DFI","S0026","Commercial Banks","REG","0","0","(500,000)","(59,000,000)","(500,000)","(59,000,000)","(329,608)"
"BANKS / DFI","S0028","Technology and Communication","REG","40,000","3,159,230","(180,000)","(18,749,750)","(140,000)","(15,590,520)","(87,097)"
"BANKS / DFI","S0029","Textile Composite","REG","482,500","25,333,435","(25,000)","(1,185,000)","457,500","24,148,435","134,907"
"BANKS / DFI","S1111","All other Sectors","REG","781,200","126,396,255","(318,500)","(70,424,639)","462,700","55,971,616","312,690"
"","","","TOTAL","1,672,899","215,387,684","(2,290,734)","(257,755,591)","(617,835)","(42,367,909)","(236,692)"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","222,500","25,248,760","(213,000)","(29,057,330)","9,500","(3,808,570)","(21,276)"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","500","12,145","(500)","(134,255)","0","(122,110)","(682)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","2,880,500","96,616,940","(3,213,000)","(94,346,105)","(332,500)","2,270,835","12,686"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","151,500","12,715,585","(120,500)","(10,225,170)","31,000","2,490,415","13,912"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","26,000","3,346,420","(67,500)","(7,433,510)","(41,500)","(4,087,090)","(22,832)"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","FUT","68,000","964,175","(58,500)","(1,283,000)","9,500","(318,825)","(1,781)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","FUT","229,000","2,427,575","(103,500)","(233,210)","125,500","2,194,365","12,259"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","FUT","6,719,500","632,674,125","(5,817,000)","(558,788,175)","902,500","73,885,950","412,770"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","FUT","116,000","3,101,160","(143,000)","(4,210,815)","(27,000)","(1,109,655)","(6,199)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","FUT","2,287,500","82,853,400","(2,441,500)","(70,022,680)","(154,000)","12,830,720","71,680"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","GEM","0","0","(5,000)","(86,250)","(5,000)","(86,250)","(481)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","ODL","100","4,100","(422)","(17,070)","(322)","(12,970)","(72)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","ODL","0","0","(2)","(28)","(2)","(28)","0"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","ODL","475","7,453","(8)","(127)","467","7,326","40"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","ODL","1,050","18,364","(1,789)","(23,761)","(739)","(5,397)","(30)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","OMKT","0","0","(3,200)","(1,414,400)","(3,200)","(1,414,400)","(7,901)"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","OMKT","5,000","410,000","0","0","5,000","410,000","2,290"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","OMKT","0","0","(20,000)","(860,000)","(20,000)","(860,000)","(4,804)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","OMKT","3,000,000","7,500,000","0","0","3,000,000","7,500,000","41,899"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","OMKT","51,000","438,600","0","0","51,000","438,600","2,450"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","OMKT","0","0","(5,000)","(32,300)","(5,000)","(32,300)","(180)"
"BROKER PROPRIETARY TRADING","S0005","Cement","REG","793,203","63,831,773","(549,673)","(40,994,911)","243,530","22,836,861","127,580"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","REG","112,995","6,427,761","(76,252)","(4,760,034)","36,743","1,667,726","9,316"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","REG","7,177,451","231,986,445","(5,399,697)","(175,601,154)","1,777,754","56,385,290","315,001"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","REG","455,401","39,513,105","(453,388)","(39,428,484)","2,013","84,621","472"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","REG","656,352","16,719,233","(210,052)","(12,340,999)","446,300","4,378,233","24,459"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","REG","978,148","9,350,612","(686,833)","(4,850,533)","291,315","4,500,079","25,140"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","REG","4,875,067","51,652,117","(4,447,328)","(43,879,227)","427,739","7,772,890","43,423"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","REG","11,571,499","467,104,282","(15,714,303)","(723,729,199)","(4,142,804)","(256,624,916)","(1,433,658)"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","REG","480,500","16,539,590","(318,000)","(8,446,955)","162,500","8,092,635","45,210"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","REG","6,363,499","136,680,943","(6,250,501)","(140,995,585)","112,998","(4,314,641)","(24,104)"
"","","","TOTAL","49,222,740","1,908,144,663","(46,319,448)","(1,973,195,267)","2,903,292","(65,050,606)","(363,413)"
"COMPANIES","S0005","Cement","FUT","22,500","2,411,485","(21,000)","(1,605,875)","1,500","805,610","4,500"
"COMPANIES","S0008","Food and Personal Care Products","FUT","1,500","46,875","(13,000)","(400,720)","(11,500)","(353,845)","(1,976)"
"COMPANIES","S0019","Oil and Gas Exploration Companies","FUT","0","0","(10,000)","(872,250)","(10,000)","(872,250)","(4,872)"
"COMPANIES","S0020","Oil and Gas Marketing Companies","FUT","1,000","34,055","(500)","(89,995)","500","(55,940)","(312)"
"COMPANIES","S0023","Power Generation and Distribution","FUT","6,000","19,660","0","0","6,000","19,660","109"
"COMPANIES","S0026","Commercial Banks","FUT","0","0","(351,000)","(3,088,335)","(351,000)","(3,088,335)","(17,253)"
"COMPANIES","S0028","Technology and Communication","FUT","942,000","115,024,355","(1,055,500)","(123,222,550)","(113,500)","(8,198,195)","(45,799)"
"COMPANIES","S0029","Textile Composite","FUT","3,500","45,270","(2,500)","(49,585)","1,000","(4,315)","(24)"
"COMPANIES","S1111","All other Sectors","FUT","42,500","674,030","(1,390,500)","(40,922,510)","(1,348,000)","(40,248,480)","(224,851)"
"COMPANIES","S0029","Textile Composite","ODL","100","1,300","0","0","100","1,300","7"
"COMPANIES","S1111","All other Sectors","ODL","0","0","(37)","(7,141)","(37)","(7,141)","(39)"
"COMPANIES","S0008","Food and Personal Care Products","OMKT","0","0","(1,522,659)","(1,602,190)","(1,522,659)","(1,602,190)","(8,950)"
"COMPANIES","S0026","Commercial Banks","OMKT","0","0","(2,370,000)","(163,530,000)","(2,370,000)","(163,530,000)","(913,575)"
"COMPANIES","S0005","Cement","REG","59,500","22,624,629","(167,265)","(95,747,465)","(107,765)","(73,122,836)","(408,507)"
"COMPANIES","S0007","Fertilizer","REG","32,500","1,944,005","(620,328)","(60,483,284)","(587,828)","(58,539,279)","(327,035)"
"COMPANIES","S0008","Food and Personal Care Products","REG","333,435","7,332,675","(631,044)","(19,744,480)","(297,609)","(12,411,805)","(69,339)"
"COMPANIES","S0019","Oil and Gas Exploration Companies","REG","10,000","870,100","(37,698)","(3,289,204)","(27,698)","(2,419,104)","(13,514)"
"COMPANIES","S0020","Oil and Gas Marketing Companies","REG","500","89,480","(10,388)","(1,719,264)","(9,888)","(1,629,784)","(9,104)"
"COMPANIES","S0023","Power Generation and Distribution","REG","0","0","(2,226,000)","(62,911,492)","(2,226,000)","(62,911,492)","(351,460)"
"COMPANIES","S0026","Commercial Banks","REG","560,024","56,587,746","(1,292,042)","(25,794,575)","(732,018)","30,793,170","172,028"
"COMPANIES","S0028","Technology and Communication","REG","1,791,100","85,153,406","(1,805,850)","(99,434,828)","(14,750)","(14,281,421)","(79,784)"
"COMPANIES","S0029","Textile Composite","REG","93,100","3,993,425","(42,600)","(2,825,490)","50,500","1,167,935","6,524"
"COMPANIES","S1111","All other Sectors","REG","2,163,700","73,802,063","(1,217,700)","(37,023,401)","946,000","36,778,662","205,467"
"","","","TOTAL","6,062,959","370,654,559","(14,787,611)","(744,364,634)","(8,724,652)","(373,710,075)","(2,087,759)"
"INDIVIDUALS","S0005","Cement","FUT","1,232,000","133,225,905","(1,196,000)","(127,662,290)","36,000","5,563,615","31,081"
"INDIVIDUALS","S0007","Fertilizer","FUT","44,000","1,785,795","(44,000)","(1,663,685)","0","122,110","682"
"INDIVIDUALS","S0008","Food and Personal Care Products","FUT","12,675,000","353,262,910","(12,543,000)","(356,954,470)","132,000","(3,691,560)","(20,623)"
