"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S0005","Cement","FUT","12,500","1,468,875","(73,000)","(8,616,165)","(60,500)","(7,147,290)","(46,714)"
"BANKS / DFI","S1111","All other Sectors","ODL","0","0","(400)","(6,440)","(400)","(6,440)","(42)"
"BANKS / DFI","S0005","Cement","REG","737,139","118,596,466","(15,000)","(9,137,500)","722,139","109,458,966","715,418"
"BANKS / DFI","S0007","Fertilizer","REG","0","0","(231,319)","(23,002,579)","(231,319)","(23,002,579)","(150,343)"
"BANKS / DFI","S0008","Food and Personal Care Products","REG","2,000,000","64,229,105","(25,000)","(1,805,850)","1,975,000","62,423,255","407,995"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","REG","85,000","18,356,971","(25,000)","(5,490,000)","60,000","12,866,971","84,097"
"BANKS / DFI","S0026","Commercial Banks","REG","160,000","21,050,000","(365,159)","(22,179,506)","(205,159)","(1,129,506)","(7,382)"
"BANKS / DFI","S0028","Technology and Communication","REG","275,000","47,741,579","(25,000)","(4,277,045)","250,000","43,464,535","284,081"
"BANKS / DFI","S0029","Textile Composite","REG","0","0","(248,500)","(12,420,000)","(248,500)","(12,420,000)","(81,176)"
"BANKS / DFI","S1111","All other Sectors","REG","2,124,085","139,895,348","(2,725,900)","(105,428,470)","(601,815)","34,466,878","225,273"
"","","","TOTAL","5,393,724","411,338,344","(3,734,278)","(192,363,555)","1,659,446","218,974,790","1,431,207"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","600,500","43,548,815","(370,000)","(38,077,200)","230,500","5,471,615","35,762"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","267,000","21,888,135","(43,500)","(9,104,365)","223,500","12,783,770","83,554"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","3,916,500","124,763,255","(1,638,000)","(51,640,335)","2,278,500","73,122,920","477,927"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","70,500","6,386,720","(23,500)","(2,135,405)","47,000","4,251,315","27,786"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","135,000","11,173,045","(171,500)","(16,672,470)","(36,500)","(5,499,425)","(35,943)"
