"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S1111","All other Sectors","ODL","0","0","(520)","(14,793)","(520)","(14,793)","(93)"
"BANKS / DFI","S0005","Cement","REG","193,615","33,886,049","(203,615)","(14,297,894)","(10,000)","19,588,154","123,195"
"BANKS / DFI","S0007","Fertilizer","REG","500,000","14,238,795","(178,500)","(12,700,138)","321,500","1,538,656","9,677"
"BANKS / DFI","S0008","Food and Personal Care Products","REG","879,270","37,747,141","(115,500)","(2,194,500)","763,770","35,552,641","223,601"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","REG","650,829","39,028,945","(341,455)","(16,465,393)","309,374","22,563,551","141,909"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","5,050,000","42,791,635","(100,000)","(4,510,965)","4,950,000","38,280,670","240,758"
"BANKS / DFI","S0026","Commercial Banks","REG","30,102","4,136,084","(161,375)","(19,178,414)","(131,273)","(15,042,330)","(94,605)"
"BANKS / DFI","S0028","Technology and Communication","REG","226,506","36,963,827","(25,000)","(4,124,750)","201,506","32,839,077","206,535"
"BANKS / DFI","S0029","Textile Composite","REG","45,000","4,229,998","0","0","45,000","4,229,998","26,603"
"BANKS / DFI","S1111","All other Sectors","REG","1,212,300","110,646,381","(1,134,600)","(185,844,799)","77,700","(75,198,417)","(472,946)"
"","","","TOTAL","8,787,622","323,668,855","(2,260,565)","(259,331,646)","6,527,057","64,337,207","404,634"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","453,000","37,298,645","(711,000)","(69,763,570)","(258,000)","(32,464,925)","(204,181)"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","868,000","24,486,245","(745,500)","(22,162,455)","122,500","2,323,790","14,615"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","3,038,000","145,072,650","(2,352,000)","(113,166,490)","686,000","31,906,160","200,667"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","107,500","9,845,940","(125,000)","(11,317,345)","(17,500)","(1,471,405)","(9,254)"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","1,055,000","30,895,615","(938,000)","(23,132,930)","117,000","7,762,685","48,821"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","FUT","243,500","2,393,390","(342,000)","(6,108,300)","(98,500)","(3,714,910)","(23,364)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","FUT","102,000","4,392,445","(47,500)","(4,733,190)","54,500","(340,745)","(2,143)"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","FUT","2,293,000","238,062,235","(1,869,500)","(172,154,390)","423,500","65,907,845","414,514"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","FUT","356,500","19,866,435","(212,500)","(10,868,030)","144,000","8,998,405","56,593"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","FUT","3,967,000","497,843,545","(3,134,000)","(492,676,985)","833,000","5,166,560","32,494"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","ODL","79","4,155","0","0","79","4,155","26"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","ODL","0","0","(63)","(5,764)","(63)","(5,764)","(36)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","ODL","812","18,005","(462)","(13,600)","350","4,404","27"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","OMKT","500","45,000","0","0","500","45,000","283"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","OMKT","0","0","(349,000)","(268,579,930)","(349,000)","(268,579,930)","(1,689,181)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","OMKT","500","58,625","0","0","500","58,625","368"
"BROKER PROPRIETARY TRADING","S0005","Cement","REG","2,491,716","137,693,755","(3,361,382)","(151,917,603)","(869,666)","(14,223,847)","(89,458)"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","REG","1,180,660","36,540,339","(1,642,155)","(54,814,051)","(461,495)","(18,273,712)","(114,929)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","REG","9,918,551","364,305,102","(13,764,051)","(502,274,554)","(3,845,500)","(137,969,452)","(867,732)"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","REG","291,665","27,477,471","(369,513)","(35,520,741)","(77,848)","(8,043,270)","(50,586)"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","REG","2,051,787","66,252,412","(2,213,482)","(61,851,538)","(161,695)","4,400,873","27,678"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","REG","1,954,608","22,355,668","(2,425,300)","(18,967,810)","(470,692)","3,387,858","21,307"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","REG","3,728,020","70,300,013","(3,823,483)","(60,368,824)","(95,463)","9,931,189","62,460"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","REG","9,380,817","347,822,847","(11,423,115)","(461,169,033)","(2,042,298)","(113,346,185)","(712,869)"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","REG","516,900","21,129,669","(622,500)","(29,167,985)","(105,600)","(8,038,316)","(50,555)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","REG","11,664,020","898,118,413","(14,806,668)","(1,008,172,091)","(3,142,648)","(110,053,677)","(692,161)"
"","","","TOTAL","55,664,135","3,002,278,619","(65,278,174)","(3,578,907,209)","(9,614,039)","(576,628,589)","(3,626,596)"
"COMPANIES","S0005","Cement","FUT","2,000","233,900","(29,000)","(2,326,840)","(27,000)","(2,092,940)","(13,163)"
"COMPANIES","S0007","Fertilizer","FUT","1,000","28,300","0","0","1,000","28,300","177"
"COMPANIES","S0008","Food and Personal Care Products","FUT","151,000","6,516,330","(782,000)","(33,690,585)","(631,000)","(27,174,255)","(170,907)"
"COMPANIES","S0019","Oil and Gas Exploration Companies","FUT","0","0","(7,000)","(652,130)","(7,000)","(652,130)","(4,101)"
"COMPANIES","S0020","Oil and Gas Marketing Companies","FUT","23,000","1,807,865","(52,500)","(723,900)","(29,500)","1,083,965","6,817"
"COMPANIES","S0023","Power Generation and Distribution","FUT","500,000","2,013,210","(23,000)","(720,060)","477,000","1,293,150","8,133"
"COMPANIES","S0026","Commercial Banks","FUT","4,500","434,730","(7,500)","(479,665)","(3,000)","(44,935)","(282)"
"COMPANIES","S0028","Technology and Communication","FUT","17,000","2,564,160","(40,000)","(3,430,135)","(23,000)","(865,975)","(5,446)"
"COMPANIES","S0029","Textile Composite","FUT","106,000","3,887,620","(29,500)","(1,545,165)","76,500","2,342,455","14,732"
"COMPANIES","S1111","All other Sectors","FUT","122,000","11,331,140","(770,500)","(50,462,075)","(648,500)","(39,130,935)","(246,106)"
"COMPANIES","S0026","Commercial Banks","OMKT","170,000","21,420,000","(170,000)","(21,080,000)","0","340,000","2,138"
"COMPANIES","S0029","Textile Composite","OMKT","349,000","268,579,930","0","0","349,000","268,579,930","1,689,181"
"COMPANIES","S0005","Cement","REG","161,000","7,178,743","(424,799)","(14,874,298)","(263,799)","(7,695,554)","(48,399)"
"COMPANIES","S0007","Fertilizer","REG","1,137,000","33,845,675","(103,000)","(2,883,475)","1,034,000","30,962,200","194,730"
"COMPANIES","S0008","Food and Personal Care Products","REG","863,500","34,101,529","(1,355,500)","(50,286,195)","(492,000)","(16,184,666)","(101,790)"
"COMPANIES","S0019","Oil and Gas Exploration Companies","REG","107,580","13,166,172","(5,000)","(428,144)","102,580","12,738,028","80,113"
"COMPANIES","S0020","Oil and Gas Marketing Companies","REG","621,500","24,291,585","(271,865)","(12,962,661)","349,635","11,328,924","71,251"
"COMPANIES","S0023","Power Generation and Distribution","REG","1,229,000","8,270,445","(328,500)","(1,307,430)","900,500","6,963,015","43,792"
"COMPANIES","S0026","Commercial Banks","REG","8,061,862","355,039,106","(4,258,924)","(183,925,984)","3,802,938","171,113,121","1,076,183"
"COMPANIES","S0028","Technology and Communication","REG","1,257,400","168,681,549","(1,492,588)","(77,554,926)","(235,188)","91,126,623","573,123"
"COMPANIES","S0029","Textile Composite","REG","44,000","2,368,583","(788,500)","(38,626,685)","(744,500)","(36,258,102)","(228,038)"
"COMPANIES","S1111","All other Sectors","REG","2,429,400","241,635,331","(2,064,600)","(89,233,930)","364,800","152,401,401","958,499"
"","","","TOTAL","17,357,742","1,207,395,903","(13,004,276)","(587,194,283)","4,353,466","620,201,620","3,900,637"
"INDIVIDUALS","S0005","Cement","FUT","1,760,500","147,094,255","(1,414,500)","(110,115,395)","346,000","36,978,860","232,571"
"INDIVIDUALS","S0007","Fertilizer","FUT","1,873,000","54,593,200","(2,282,500)","(65,070,445)","(409,500)","(10,477,245)","(65,894)"
"INDIVIDUALS","S0008","Food and Personal Care Products","FUT","8,057,000","374,907,705","(8,672,500)","(404,008,850)","(615,500)","(29,101,145)","(183,026)"
"INDIVIDUALS","S0019","Oil and Gas Exploration Companies","FUT","446,000","41,533,265","(443,500)","(41,293,015)","2,500","240,250","1,511"
"INDIVIDUALS","S0020","Oil and Gas Marketing Companies","FUT","5,237,000","86,922,860","(5,377,000)","(96,437,055)","(140,000)","(9,514,195)","(59,837)"
"INDIVIDUALS","S0023","Power Generation and Distribution","FUT","884,000","20,367,315","(1,310,000)","(18,181,665)","(426,000)","2,185,650","13,746"
"INDIVIDUALS","S0026","Commercial Banks","FUT","407,500","18,523,430","(470,500)","(17,643,970)","(63,000)","879,460","5,531"
"INDIVIDUALS","S0028","Technology and Communication","FUT","10,634,000","1,159,353,650","(10,379,500)","(1,212,292,775)","254,500","(52,939,125)","(332,950)"
"INDIVIDUALS","S0029","Textile Composite","FUT","826,500","41,141,750","(992,000)","(49,163,320)","(165,500)","(8,021,570)","(50,450)"
"INDIVIDUALS","S1111","All other Sectors","FUT","16,854,500","1,702,234,285","(16,836,500)","(1,663,282,175)","18,000","38,952,110","244,981"
"INDIVIDUALS","S0005","Cement","ODL","6,230","139,538","(6,225)","(132,706)","5","6,831","42"
"INDIVIDUALS","S0007","Fertilizer","ODL","3,775","109,106","(3,305)","(95,946)","470","13,160","82"
