"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S0005","Cement","FUT","0","0","(38,500)","(715,660)","(38,500)","(715,660)","(4,089)"
"BANKS / DFI","S0007","Fertilizer","FUT","0","0","(5,000)","(133,500)","(5,000)","(133,500)","(762)"
"BANKS / DFI","S0023","Power Generation and Distribution","FUT","0","0","(1,000)","(74,350)","(1,000)","(74,350)","(424)"
"BANKS / DFI","S0028","Technology and Communication","FUT","0","0","(5,000)","(505,450)","(5,000)","(505,450)","(2,888)"
"BANKS / DFI","S1111","All other Sectors","FUT","0","0","(5,000)","(339,000)","(5,000)","(339,000)","(1,937)"
"BANKS / DFI","S0005","Cement","REG","598,600","24,416,474","(50,000)","(4,051,035)","548,600","20,365,439","116,373"
"BANKS / DFI","S0007","Fertilizer","REG","355,000","9,324,450","(700,000)","(23,100,255)","(345,000)","(13,775,805)","(78,718)"
"BANKS / DFI","S0008","Food and Personal Care Products","REG","825,000","21,408,685","(125,000)","(3,164,500)","700,000","18,244,185","104,252"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","REG","8,920","15,179,258","0","0","8,920","15,179,258","86,738"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","REG","18,414","3,200,439","0","0","18,414","3,200,439","18,288"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","1,000","73,547","(1,435,659)","(26,507,636)","(1,434,659)","(26,434,088)","(151,051)"
"BANKS / DFI","S0026","Commercial Banks","REG","645,000","81,840,643","(453,029)","(40,875,723)","191,971","40,964,920","234,085"
"BANKS / DFI","S0028","Technology and Communication","REG","1,639,000","131,544,525","(569,740)","(52,160,014)","1,069,260","79,384,510","453,625"
"BANKS / DFI","S0029","Textile Composite","REG","50,000","2,456,250","0","0","50,000","2,456,250","14,035"
