Symbol,Company Name,Industry Code,Industry Name,Lot Size,Active
NSRM,The National Silk & Rayon Mills Limited,827,SYNTHETIC & RAYON,500,1
OBOY,Oilboy Energy Limited,821,OIL & GAS MARKETING COMPANIES,500,1
OCTOPUS,Octopus Digital Limited,828,TECHNOLOGY & COMMUNICATION,500,1
OGDC,Oil & Gas Development Company Limited,820,OIL & GAS EXPLORATION COMPANIES,1,1
OLPL,OLP Financial Services Pakistan Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
OLPM,OLP Modaraba,819,MODARABAS,500,1
OML,Olympia Mills Limited,818,MISCELLANEOUS,500,1
ORM,Orient Rental Mod,819,MODARABAS,500,1
OTSU,Otsuka Pakistan Limited,823,PHARMACEUTICALS,1,1
PABC,Pakistan Aluminium Beverage Cans Limited,818,MISCELLANEOUS,1,1
PACE,Pace (Pakistan) Limited,838,PROPERTY,500,1
PAEL,Pak Elektron Limited,803,CABLE & ELECTRICAL GOODS,1,1
PAKD,Pak Datacom Limited,828,TECHNOLOGY & COMMUNICATION,500,1
PAKL,Pak Leather Crafts Limited,816,LEATHER & TANNERIES,500,1
PAKOXY,Pakistan Oxygen Limited,805,CHEMICAL,500,1
PAKRI,Pakistan Reinsurance Company Limited,812,INSURANCE,500,1
PAKT,Pakistan Tobacco Company Limited,832,TOBACCO,1,1
PASL,Pervez Ahmed Consultancy Services Ltd.,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
PASM,Paramount Spinning Mills Limited,829,TEXTILE COMPOSITE,500,1
PCAL,Pakistan Cables Limited,803,CABLE & ELECTRICAL GOODS,1,1
PECO,Pakistan Engineering Company Limited,808,ENGINEERING,1,1
PELPS,Pak Elektron (Pref),803,CABLE & ELECTRICAL GOODS,500,1
PGLC,Pak-Gulf Leasing Company Limited,815,LEASING COMPANIES,500,1
PHDL,Pakistan Hotels Developers Limited,818,MISCELLANEOUS,1,1
PIBTL,Pakistan International Bulk Terminal,833,TRANSPORT,500,1
PICL,Pakistan Industrial & Commercial Leasing,815,LEASING COMPANIES,500,0
PICT,Pakistan International Container,833,TRANSPORT,500,1
PIL,PICIC Insurance Limited,812,INSURANCE,500,1
PIM,Popular Islamic Modaraba,819,MODARABAS,500,1
PINL,Premier Insurance Limited,812,INSURANCE,500,1
PIOC,Pioneer Cement Limited,804,CEMENT,1,1
PKGI,The Pakistan General Insurance Co. Ltd.,812,INSURANCE,500,1
PKGP,Pakgen Power Limited,824,POWER GENERATION & DISTRIBUTION,500,1
PKGS,Packages Limited,822,"PAPER, BOARD & PACKAGING",1,1
PMI,First Prudential Modaraba,819,MODARABAS,500,1
PMPK,Philip Morris (Pakistan) Limited,832,TOBACCO,1,1
PMRS,The Premier Sugar Mills,826,SUGAR & ALLIED INDUSTRIES,1,1
PNSC,Pakistan National Shipping Corporation,833,TRANSPORT,1,1
POL,Pakistan Oilfields Limited,820,OIL & GAS EXPLORATION COMPANIES,1,1
POML,Punjab Oil Mills Limited,834,VANASPATI & ALLIED INDUSTRIES,1,1
POWER,Power Cement Limited,804,CEMENT,500,1
POWERPS,Power Cement (Pref),804,CEMENT,500,1
PPL,Pakistan Petroleum Limited,820,OIL & GAS EXPLORATION COMPANIES,1,1
PPP,Pakistan Paper Products Limited,822,"PAPER, BOARD & PACKAGING",500,1
PPVC,Pakistan PVC Limited,805,CHEMICAL,500,1
PREMA,At-Tahur Limited,810,FOOD & PERSONAL CARE PRODUCTS,500,1
PRET,Premium Textile Mills Limited,830,TEXTILE SPINNING,1,1
PRIB,Prudential Investment Bank Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,0
PRIC,Progressive Insurance Company Limited,812,INSURANCE,500,0
PRL,Pakistan Refinery Limited,825,REFINERY,1,1
PRWM,Prosperity Weaving Mills Limited,831,TEXTILE WEAVING,500,1
PSEL,Pakistan Services Limited,818,MISCELLANEOUS,1,1
PSO,Pakistan State Oil Company Limited,821,OIL & GAS MARKETING COMPANIES,1,1
PSX,Pakistan Stock Exchange Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
PSYL,Pakistan Synthetics Limited,827,SYNTHETIC & RAYON,500,1
PTC,Pakistan Telecommunication Company Ltd,828,TECHNOLOGY & COMMUNICATION,1,1
PTL,Panther Tyres Ltd.,802,AUTOMOBILE PARTS & ACCESSORIES,500,1
PUDF,Prudential Stocks Fund Limited,806,CLOSE - END MUTUAL FUND,500,0
QUET,Quetta Textile Mills Limited,829,TEXTILE COMPOSITE,500,1
QUICE,Quice Food Industries Limited,810,FOOD & PERSONAL CARE PRODUCTS,500,1
RCML,Reliance Cotton Spinning Mills Limited,830,TEXTILE SPINNING,1,1
REDCO,Redco Textiles Limited,829,TEXTILE COMPOSITE,500,1
REGAL,Regal Ceramics Limited,811,GLASS & CERAMICS,500,0
REWM,Reliance Weaving Mills Limited,829,TEXTILE COMPOSITE,500,1
RICL,Reliance Insurance Company Limited,812,INSURANCE,500,1
RMPL,Rafhan Maize Products Company Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1
RPL,Roshan Packages Limited,822,"PAPER, BOARD & PACKAGING",500,1
RUBY,Ruby Textile Mills Limited,830,TEXTILE SPINNING,500,1
RUPL,Rupali Polyester Limited,827,SYNTHETIC & RAYON,500,1
SAIF,Saif Textile Mills Limited,830,TEXTILE SPINNING,500,1
SANE,Salman Noman Enterprises Limited,830,TEXTILE SPINNING,500,1
SANSM,Sanghar Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
SAPT,Sapphire Textile Mills Limited,829,TEXTILE COMPOSITE,1,1
SARC,Sardar Chemical Industries Limited,805,CHEMICAL,500,1
SASML,Sindh Abadgars Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
SAZEW,Sazgar Engineering Works Limited,801,AUTOMOBILE ASSEMBLER,1,1
SBL,Samba Bank Limited,807,COMMERCIAL BANKS,500,1
SCBPL,Standard Chartered Bank (Pak) Ltd,807,COMMERCIAL BANKS,500,1
SCHT,Schon Textiles Limited,829,TEXTILE COMPOSITE,500,0
SCL,Shield Corporation Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1
SDOT,Sadoon Textile Industries Limited,831,TEXTILE WEAVING,500,0
SEARL,The Searle Company Limited,823,PHARMACEUTICALS,1,1
SEL,Sitara Energy Limited,824,POWER GENERATION & DISTRIBUTION,500,1
SEPL,Security Papers Limited,822,"PAPER, BOARD & PACKAGING",1,1
SERT,Service Industries Textiles Limited,830,TEXTILE SPINNING,500,1
SFAT,Safa Textiles Limited,829,TEXTILE COMPOSITE,500,1
SFL,Sapphire Fibres Limited,829,TEXTILE COMPOSITE,1,1
SGABL,SG.Allied Businesses Limited,827,SYNTHETIC & RAYON,1,1
SGF,Service GlobalFootwear Limited,816,LEATHER & TANNERIES,500,1
SGPL,S.G. Power Limited,824,POWER GENERATION & DISTRIBUTION,500,1
SHCI,Shaffi Chemical Industries Limited,805,CHEMICAL,500,1
SHCM,Shadman Cotton Mills Limited,830,TEXTILE SPINNING,500,1
SHDT,Shadab Textile Mills Limited,830,TEXTILE SPINNING,500,1
SHEL,Shell Pakistan Limited,821,OIL & GAS MARKETING COMPANIES,1,1
SHEZ,Shezan International Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1
SHFA,Shifa International Hospitals Limited,818,MISCELLANEOUS,1,1
SHJS,Shahtaj Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
SHNI,Shaheen Insurance Company Limited,812,INSURANCE,500,1
SHSML,Shahmurad Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,1,1
SIBL,Security Investment Bank Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
SICL,Standard Insurance Company Limited,812,INSURANCE,500,1
SIEM,Siemens (Pakistan) Engineering,803,CABLE & ELECTRICAL GOODS,1,1
SILK,Silkbank Limited,807,COMMERCIAL BANKS,500,1
SINDM,Sindh Modaraba,819,MODARABAS,500,1
SITC,Sitara Chemical Industries Limited,805,CHEMICAL,1,1
SKRS,Sakrand Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
SLCL,Security Leasing Corporation Limited,815,LEASING COMPANIES,500,1
SLCPA,Security Leasing Corp.9.10%(Pref),815,LEASING COMPANIES,500,0
SLGL,Secure Logistics Group Limited,833,TRANSPORT,1,1
SLL,SME Leasing Limited,815,LEASING COMPANIES,500,1
SLYT,Sally Textile Mills Limited,830,TEXTILE SPINNING,500,1
SMCPL,Safe Mix Concrete Limited,804,CEMENT,500,1
SML,Shakarganj Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
SNAI,Sana Industries Limited,830,TEXTILE SPINNING,500,1
SNBL,Soneri Bank Limited,807,COMMERCIAL BANKS,500,1
SNGP,Sui Northern Gas Pipelines Limited,821,OIL & GAS MARKETING COMPANIES,1,1
SPEL,Synthetic Products Enterprises Limited,822,"PAPER, BOARD & PACKAGING",500,1
SPL,Sitara Peroxide Limited,805,CHEMICAL,500,1
SPLC,Saudi Pak Leasing Company Limited,815,LEASING COMPANIES,500,1
SPWL,Saif Power Limited,824,POWER GENERATION & DISTRIBUTION,500,1
SRVI,Service Industries Limited,816,LEATHER & TANNERIES,1,1
SSGC,Sui Southern Gas Company Limited,821,OIL & GAS MARKETING COMPANIES,1,1
SSIC,Silver Star Insurance Company Limited,812,INSURANCE,500,1
SSML,Saritow Spinning Mills Limited,830,TEXTILE SPINNING,500,1
SSOM,S.S.Oil Mills Limited,834,VANASPATI & ALLIED INDUSTRIES,500,1
STCL,Shabbir Tiles & Ceramics Limited,811,GLASS & CERAMICS,500,1
STJT,Shahtaj Textile Limited,831,TEXTILE WEAVING,500,1
STML,Shams Textile Mills Limited,829,TEXTILE COMPOSITE,500,1
STPL,Siddiqsons Tin Plate Limited,818,MISCELLANEOUS,500,1
STYLERS,Stylers International Limited,829,TEXTILE COMPOSITE,500,1
SUHJ,Suhail Jute Mills Limited,814,JUTE,500,1
SURAJ,Suraj Ghee Industries Limited,834,VANASPATI & ALLIED INDUSTRIES,500,0
SURC,Suraj Cotton Mills Limited,829,TEXTILE COMPOSITE,1,1
SUTM,Sunrays Textile Mills Limited,830,TEXTILE SPINNING,500,1
SYM,Symmetry Group Limited,828,TECHNOLOGY & COMMUNICATION,500,1
SYS,Systems Limited,828,TECHNOLOGY & COMMUNICATION,1,1
SZTM,Shahzad Textile Mills Limited,830,TEXTILE SPINNING,500,1
TAJT,Taj Textile Mills Limited,829,TEXTILE COMPOSITE,500,0
TATM,Tata Textile Mills Limited,830,TEXTILE SPINNING,500,1
TBL,Treet Battery Limited.,802,AUTOMOBILE PARTS & ACCESSORIES,500,1
TCORP,Tariq Corporation Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
TCORPCPS,Tariq Corporation Limited(Pref),826,SUGAR & ALLIED INDUSTRIES,500,1
TELE,Telecard Limited,828,TECHNOLOGY & COMMUNICATION,1,1
TGL,Tariq Glass Industries Limited,811,GLASS & CERAMICS,1,1
THALL,Thal Limited,802,AUTOMOBILE PARTS & ACCESSORIES,1,1
THCCL,Thatta Cement Company Limited,804,CEMENT,500,1
TICL,The Thal Industries Corporation Limited,826,SUGAR & ALLIED INDUSTRIES,1,1
TOMCL,The Organic Meat Company Limited,810,FOOD & PERSONAL CARE PRODUCTS,500,1
TOWL,Towellers Limited,829,TEXTILE COMPOSITE,1,1
TPL,TPL Corp Limited,828,TECHNOLOGY & COMMUNICATION,500,1
TPLI,TPL Insurance Limited,812,INSURANCE,500,1
TPLP,TPL Properties Limited,838,PROPERTY,1,1
TPLT,TPL Trakker Limited,828,TECHNOLOGY & COMMUNICATION,500,1
TREET,Treet Corporation Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1
TRG,TRG Pakistan Limited,828,TECHNOLOGY & COMMUNICATION,1,1
TRIBL,Trust Investment Bank Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
TRIPF,Tri-Pack Films Limited,818,MISCELLANEOUS,1,1
TRSM,Trust Modaraba,819,MODARABAS,500,1
TSBL,Trust Securities & Brokerage Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
TSMF,Tri-Star Mutual Fund Limited,806,CLOSE - END MUTUAL FUND,500,1
TSML,Tandlianwala Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
TSPL,Tri-Star Power Limited,824,POWER GENERATION & DISTRIBUTION,500,1
UBDL,United Brands Limited,818,MISCELLANEOUS,500,1
UBL,United Bank Limited,807,COMMERCIAL BANKS,1,1
UBLPETF,UBLPakistan Enterprise ETF,837,EXCHANGE TRADED FUNDS,500,1
UCAPM,Unicap Modaraba,819,MODARABAS,500,1
UDPL,United Distributors Pakistan Limited,818,MISCELLANEOUS,500,1
UNIC,The United Insurance Company,812,INSURANCE,500,1
UNITY,Unity Foods Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1
UPFL,Unilever Pakistan Foods Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1
USMT,Usman Textile Mills Limited,829,TEXTILE COMPOSITE,500,0
UVIC,The Universal Insurance Company Limited,812,INSURANCE,500,1
WAHN,Wah Noble Chemicals Limited,805,CHEMICAL,1,1
WAVES,Waves Corporation Limited,803,CABLE & ELECTRICAL GOODS,500,1
WAVESAPP,Waves Home Appliances Limited,803,CABLE & ELECTRICAL GOODS,500,1
WTL,Worldcall Telecom Limited,828,TECHNOLOGY & COMMUNICATION,1,1
YOUW,Yousaf Weaving Mills Limited,831,TEXTILE WEAVING,500,1
ZAHID,Zahidjee Textile Mills Limited,829,TEXTILE COMPOSITE,500,1
ZELP,Zeal Pak Cement Factory Limited,804,CEMENT,500,0
ZHCM,Zahur Cotton Mills Limited,829,TEXTILE COMPOSITE,500,0
ZIL,ZIL Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1
ZTL,Zephyr Textiles Limited,831,TEXTILE WEAVING,500,1
