Symbol,Company Name,Industry Code,Industry Name,Lot Size,Active
BOP,The Bank of Punjab,807,COMMERCIAL BANKS,1,1
BPL,Burshane LPG (Pakistan) Limited,821,OIL & GAS MARKETING COMPANIES,500,1
BRRG,B.R.R Guardian Limited,838,PROPERTY,500,1
BTL,Blessed Textiles Limited,829,TEXTILE COMPOSITE,1,1
BUXL,Buxly Paints Limited,805,CHEMICAL,1,1
BWCL,Bestway Cement Limited,804,CEMENT,1,1
BWHL,Baluchistan Wheels Limited,802,AUTOMOBILE PARTS & ACCESSORIES,1,1
CASH,Calcorp Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
CCM,Crescent Cotton Mills Limited,830,TEXTILE SPINNING,500,1
CENI,Century Insurance Company Limited,812,INSURANCE,500,1
CEPB,Century Paper & Board Mills Limited,822,"PAPER, BOARD & PACKAGING",500,1
CFL,Crescent Fibres Limited,830,TEXTILE SPINNING,500,1
CHAS,Chashma Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
CHBL,Chenab Limited,829,TEXTILE COMPOSITE,500,1
CHCC,Cherat Cement Company Limited,804,CEMENT,1,1
CJPL,Crescent Jute Products Limited,814,JUTE,500,1
CLCPS,Chenab Limited (Pref),829,TEXTILE COMPOSITE,500,1
CLOV,Clover Pakistan Limited,810,FOOD & PERSONAL CARE PRODUCTS,500,1
CLVL,Cordoba Logistics & Ventures Limited,833,TRANSPORT,500,1
CNERGY,Cnergyico PK  Limited,825,REFINERY,1,1
COLG,Colgate-Palmolive (Pakistan) Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1
CPHL,Citi Pharma Ltd.,823,PHARMACEUTICALS,1,1
CPPL,Cherat Packaging Limited,822,"PAPER, BOARD & PACKAGING",1,1
CRTM,The Crescent Textile Mills Limited,829,TEXTILE COMPOSITE,500,1
CSAP,Crescent Steel & Allied Products Limited,808,ENGINEERING,500,1
CSIL,Crescent Star Insurance Limited,812,INSURANCE,500,1
CTM,Colony Textile Mills Limited,830,TEXTILE SPINNING,500,1
CWSM,Chakwal Spinning Mills Limited,830,TEXTILE SPINNING,500,1
CYAN,Cyan Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
DAAG,Data Agro Limited,805,CHEMICAL,500,1
DADX,Dadex Eternit Limited,808,ENGINEERING,500,1
DAWH,Dawood Hercules Corporation Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,1,1
DBCI,Dadabhoy Cement Industries Limited,804,CEMENT,500,1
DBSL,Dadabhoy Sack Limited,822,"PAPER, BOARD & PACKAGING",500,0
DCL,Dewan Cement Limited,804,CEMENT,500,1
DCR,Dolmen City REIT,836,REAL ESTATE INVESTMENT TRUST,500,1
DCTL,Dadabhoy Construction Technology Limited,818,MISCELLANEOUS,500,0
DEL,Dawood Equities Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
DFML,Dewan Farooque Motors Limited,801,AUTOMOBILE ASSEMBLER,1,1
DFSM,Dewan Farooque Spinning Mills Limited,830,TEXTILE SPINNING,500,1
DGKC,D.G. Khan Cement Company Limited,804,CEMENT,1,1
DIIL,Diamond Industries Limited,818,MISCELLANEOUS,500,1
DINT,Din Textile Mills Limited,830,TEXTILE SPINNING,500,1
DKTM,Dewan Khalid Textile Mills Limited,830,TEXTILE SPINNING,500,1
DLL,Dawood Lawrencepur Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,1,1
DMTM,Dewan Mushtaq Textile Mills Limited,830,TEXTILE SPINNING,500,1
DMTX,D.M. Textile Mills Limited,830,TEXTILE SPINNING,500,1
DNCC,Dandot Cement Company Limited,804,CEMENT,500,1
DOL,Descon Oxychem Limited,805,CHEMICAL,500,1
DSFL,Dewan Salman Fibre Limited,827,SYNTHETIC & RAYON,500,1
DSIL,D.S. Industries Limited,830,TEXTILE SPINNING,500,1
DSL,Dost Steels Limited,808,ENGINEERING,500,1
DSML,Dar-es-Salaam Textile Mills Limited,830,TEXTILE SPINNING,500,1
DWAE,Dewan Automotive Engineering Limited,802,AUTOMOBILE PARTS & ACCESSORIES,500,1
DWSM,Dewan Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
DWTM,Dewan Textile Mills Limited,830,TEXTILE SPINNING,500,1
DYNO,Dynea Pakistan Limited,805,CHEMICAL,1,1
ECOP,Ecopack Limited,818,MISCELLANEOUS,500,1
EFERT,Engro Fertilizers Limited,809,FERTILIZER,1,1
EFGH,EFG Hermes Pakistan Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
EFUG,EFU General Insurance Limited,812,INSURANCE,500,1
EFUL,EFU Life Assurance Limited,812,INSURANCE,1,1
ELCM,Elahi Cotton Mills Limited,830,TEXTILE SPINNING,500,1
ELSM,Ellcot Spinning Mills Limited,830,TEXTILE SPINNING,500,1
EMCO,Emco Industries Limited,803,CABLE & ELECTRICAL GOODS,500,1
ENGL,English Leasing Limited,815,LEASING COMPANIES,500,0
ENGRO,Engro Corporation Limited,809,FERTILIZER,1,1
EPCL,Engro Polymer & Chemicals Limited,805,CHEMICAL,1,1
EPCLPS,Engro Poly(Pref),805,CHEMICAL,500,1
EPQL,Engro Powergen Qadirpur Limited,824,POWER GENERATION & DISTRIBUTION,500,1
ESBL,Escorts Investment Bank Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
EWIC,East West Insurance Company Limited,812,INSURANCE,500,1
EXIDE,Exide Pakistan Limited,802,AUTOMOBILE PARTS & ACCESSORIES,1,1
FABL,Faysal Bank Limited,807,COMMERCIAL BANKS,1,1
FAEL,Fatima Enterprises Limited,830,TEXTILE SPINNING,500,0
FANM,First Al-Noor Modaraba,819,MODARABAS,500,1
FASM,Faisal Spinning Mills Limited,829,TEXTILE COMPOSITE,1,1
FATIMA,Fatima Fertilizer Company Limited,809,FERTILIZER,1,1
FCCL,Fauji Cement Company Limited,804,CEMENT,1,1
FCEL,First Capital Equities Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
FCEPL,Frieslandcampina Engro Pakistan Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1
FCIBL,First Credit and Investment Bank Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
FCONM,First Constellation Modaraba,819,MODARABAS,500,0
FCSC,First Capital Securities Corporation,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
FDPL,First Dawood Properties Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
FECM,First Elite Capital Modaraba,819,MODARABAS,500,1
