"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"FOREIGN CORPORATES ","S0026","Commercial Banks","OFF-MARKET","0","0","(2,440,000)","(265,960,000)","(2,440,000)","(265,960,000)","(1,913,381)"
"FOREIGN CORPORATES ","S0005","Cement","REGULAR","0","0","(106,900)","(41,526,808)","(106,900)","(41,526,808)","(298,754)"
"FOREIGN CORPORATES ","S0007","Fertilizer","REGULAR","0","0","(106,070)","(7,925,460)","(106,070)","(7,925,460)","(57,017)"
"FOREIGN CORPORATES ","S0008","Food and Personal Care Products","REGULAR","0","0","(47,914)","(2,971,740)","(47,914)","(2,971,740)","(21,379)"
"FOREIGN CORPORATES ","S0019","Oil and Gas Exploration Companies","REGULAR","724,200","115,844,992","(470,700)","(85,414,447)","253,500","30,430,545","218,924"
"FOREIGN CORPORATES ","S0020","Oil and Gas Marketing Companies","REGULAR","800","60,400","(6,250)","(804,016)","(5,450)","(743,616)","(5,349)"
"FOREIGN CORPORATES ","S0023","Power Generation and Distribution","REGULAR","0","0","(376,000)","(3,152,690)","(376,000)","(3,152,690)","(22,681)"
"FOREIGN CORPORATES ","S0026","Commercial Banks","REGULAR","2,348,918","245,876,491","(1,648,074)","(215,148,494)","700,844","30,727,997","221,064"
"FOREIGN CORPORATES ","S0028","Technology and Communication","REGULAR","0","0","(9,500)","(305,114)","(9,500)","(305,114)","(2,195)"
"FOREIGN CORPORATES ","S1111","All other Sectors","REGULAR","35,400","10,361,700","(212,849)","(8,265,674)","(177,449)","2,096,026","15,079"
"","","","TOTAL","3,109,318","372,143,583","(5,424,257)","(631,474,444)","(2,314,939)","(259,330,861)","(1,865,689)"
"FOREIGN INDIVIDUAL","S0008","Food and Personal Care Products","FUTURE CONTRACT-APR","0","0","(5,000)","(129,000)","(5,000)","(129,000)","(928)"
"FOREIGN INDIVIDUAL","S1111","All other Sectors","FUTURE CONTRACT-APR","0","0","(1,000)","(233,050)","(1,000)","(233,050)","(1,676)"
"FOREIGN INDIVIDUAL","S1111","All other Sectors","REGULAR","27,000","1,726,985","0","0","27,000","1,726,985","12,424"
"","","","TOTAL","27,000","1,726,985","(6,000)","(362,050)","21,000","1,364,935","9,820"
"OVERSEAS PAKISTANI","S0005","Cement","FUTURE CONTRACT-APR","187,500","18,250,950","(150,000)","(36,032,155)","37,500","(17,781,205)","(127,922)"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","FUTURE CONTRACT-APR","15,000","430,600","(1,500)","(38,715)","13,500","391,885","2,819"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","FUTURE CONTRACT-APR","24,000","4,234,800","(12,500)","(2,377,700)","11,500","1,857,100","13,360"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","FUTURE CONTRACT-APR","43,000","3,524,475","(49,000)","(4,421,610)","(6,000)","(897,135)","(6,454)"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","FUTURE CONTRACT-APR","6,500","35,375","(8,000)","(618,285)","(1,500)","(582,910)","(4,193)"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","FUTURE CONTRACT-APR","30,000","393,145","(39,500)","(1,802,410)","(9,500)","(1,409,265)","(10,138)"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","FUTURE CONTRACT-APR","38,500","943,335","(12,000)","(334,910)","26,500","608,425","4,377"
"OVERSEAS PAKISTANI","S0029","Textile Composite","FUTURE CONTRACT-APR","12,000","611,855","(1,000)","(50,700)","11,000","561,155","4,037"
"OVERSEAS PAKISTANI","S1111","All other Sectors","FUTURE CONTRACT-APR","108,500","4,656,775","(79,500)","(6,596,610)","29,000","(1,939,835)","(13,955)"
"OVERSEAS PAKISTANI","S0005","Cement","OFF-MARKET","0","0","(10,000)","(4,210,000)","(10,000)","(4,210,000)","(30,287)"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","OFF-MARKET","339,000","24,580,890","0","0","339,000","24,580,890","176,840"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","OFF-MARKET","2,440,000","265,960,000","0","0","2,440,000","265,960,000","1,913,381"
"OVERSEAS PAKISTANI","S0005","Cement","REGULAR","174,906","38,136,972","(115,303)","(11,738,024)","59,603","26,398,948","189,920"
"OVERSEAS PAKISTANI","S0007","Fertilizer","REGULAR","11,411","1,162,619","(10,500)","(746,820)","911","415,799","2,991"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","REGULAR","55,171","1,780,622","(18,172)","(703,598)","36,999","1,077,024","7,748"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","REGULAR","145,160","22,242,433","(3,320)","(588,244)","141,840","21,654,189","155,785"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","REGULAR","156,607","9,700,055","(99,791)","(7,591,840)","56,816","2,108,214","15,167"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","REGULAR","205,300","3,768,298","(159,000)","(3,329,520)","46,300","438,778","3,156"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","REGULAR","173,947","4,889,270","(200,701)","(4,882,066)","(26,754)","7,204","51"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","REGULAR","79,786","1,862,177","(58,700)","(1,586,087)","21,086","276,090","1,986"
"OVERSEAS PAKISTANI","S0029","Textile Composite","REGULAR","8,037","329,927","(18,000)","(928,895)","(9,963)","(598,968)","(4,309)"
"OVERSEAS PAKISTANI","S1111","All other Sectors","REGULAR","890,293","21,696,433","(813,537)","(20,163,436)","76,756","1,532,997","11,028"
"","","","TOTAL","5,144,618","429,191,006","(1,860,024)","(108,741,625)","3,284,594","320,449,381","2,305,388"
" ","---","---","GRAND-TOTAL","8,280,936","803,061,574","(7,290,281)","(740,578,119)","990,655","62,483,455","449,521"
