"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"FOREIGN CORPORATES ","S0026","Commercial Banks","OFF-MARKET","0","0","(150,000)","(6,135,000)","(150,000)","(6,135,000)","(32,983)"
"FOREIGN CORPORATES ","S0007","Fertilizer","REGULAR","23,832","2,077,558","0","0","23,832","2,077,558","11,169"
"FOREIGN CORPORATES ","S0019","Oil and Gas Exploration Companies","REGULAR","1,700","2,905,991","0","0","1,700","2,905,991","15,623"
"FOREIGN CORPORATES ","S0026","Commercial Banks","REGULAR","2,976","331,941","(615,481)","(53,373,478)","(612,505)","(53,041,537)","(285,169)"
"FOREIGN CORPORATES ","S0028","Technology and Communication","REGULAR","77,000","24,340,117","(1,100,000)","(9,981,262)","(1,023,000)","14,358,854","77,198"
"FOREIGN CORPORATES ","S0029","Textile Composite","REGULAR","0","0","(8,000)","(676,512)","(8,000)","(676,512)","(3,637)"
"FOREIGN CORPORATES ","S1111","All other Sectors","REGULAR","13,500","675,655","(103,300)","(2,905,984)","(89,800)","(2,230,328)","(11,991)"
"","","","TOTAL","119,008","30,331,262","(1,976,781)","(73,072,236)","(1,857,773)","(42,740,974)","(229,790)"
"FOREIGN INDIVIDUAL","S0007","Fertilizer","REGULAR","77,000","7,561,384","0","0","77,000","7,561,384","40,652"
"FOREIGN INDIVIDUAL","S1111","All other Sectors","REGULAR","2,000","316,800","(2,000)","(325,000)","0","(8,200)","(44)"
"","","","TOTAL","79,000","7,878,184","(2,000)","(325,000)","77,000","7,553,184","40,608"
"OVERSEAS PAKISTANI","S0005","Cement","FUTURE CONTRACT-APR","326,500","11,481,435","(161,500)","(5,719,680)","165,000","5,761,755","30,977"
"OVERSEAS PAKISTANI","S0007","Fertilizer","FUTURE CONTRACT-APR","14,500","4,183,000","(3,500)","(618,835)","11,000","3,564,165","19,162"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","FUTURE CONTRACT-APR","233,000","6,568,750","(124,000)","(3,479,130)","109,000","3,089,620","16,610"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","FUTURE CONTRACT-APR","5,000","420,800","(22,000)","(1,853,460)","(17,000)","(1,432,660)","(7,702)"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","FUTURE CONTRACT-APR","2,500","417,650","(14,500)","(2,005,825)","(12,000)","(1,588,175)","(8,538)"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","FUTURE CONTRACT-APR","0","0","(4,000)","(264,300)","(4,000)","(264,300)","(1,420)"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","FUTURE CONTRACT-APR","20,000","2,240,000","(41,000)","(3,767,750)","(21,000)","(1,527,750)","(8,213)"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","FUTURE CONTRACT-APR","835,500","31,051,465","(785,000)","(22,227,090)","50,500","8,824,375","47,442"
"OVERSEAS PAKISTANI","S0029","Textile Composite","FUTURE CONTRACT-APR","11,000","140,210","(30,000)","(1,560,500)","(19,000)","(1,420,290)","(7,635)"
"OVERSEAS PAKISTANI","S1111","All other Sectors","FUTURE CONTRACT-APR","1,201,000","48,844,295","(1,375,500)","(43,900,090)","(174,500)","4,944,205","26,581"
"OVERSEAS PAKISTANI","S0005","Cement","FUTURE CONTRACT-MAY","0","0","(1,000)","(68,470)","(1,000)","(68,470)","(368)"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","FUTURE CONTRACT-MAY","0","0","(96,000)","(2,396,510)","(96,000)","(2,396,510)","(12,884)"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","FUTURE CONTRACT-MAY","500","7,425","(70,000)","(5,880,000)","(69,500)","(5,872,575)","(31,572)"
"OVERSEAS PAKISTANI","S1111","All other Sectors","FUTURE CONTRACT-MAY","12,000","1,138,510","0","0","12,000","1,138,510","6,121"
"OVERSEAS PAKISTANI","S0005","Cement","REGULAR","708,665","21,580,384","(523,419)","(21,337,424)","185,246","242,960","1,306"
"OVERSEAS PAKISTANI","S0007","Fertilizer","REGULAR","333,712","34,500,783","(275,433)","(30,100,864)","58,279","4,399,918","23,655"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","REGULAR","682,177","17,984,639","(463,983)","(10,861,195)","218,194","7,123,443","38,298"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","REGULAR","50,964","6,641,327","(23,618)","(2,341,413)","27,346","4,299,913","23,117"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","REGULAR","250,785","13,179,651","(192,975)","(11,591,542)","57,810","1,588,108","8,538"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","REGULAR","1,134,581","12,121,659","(1,011,388)","(6,216,539)","123,193","5,905,119","31,747"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","REGULAR","864,298","48,933,243","(215,601)","(5,171,982)","648,697","43,761,261","235,275"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","REGULAR","1,636,751","42,927,023","(3,508,814)","(56,834,683)","(1,872,063)","(13,907,660)","(74,772)"
"OVERSEAS PAKISTANI","S0029","Textile Composite","REGULAR","113,513","2,919,120","(216,098)","(8,616,631)","(102,585)","(5,697,511)","(30,631)"
"OVERSEAS PAKISTANI","S1111","All other Sectors","REGULAR","6,286,313","147,163,605","(6,728,247)","(204,574,146)","(441,934)","(57,410,541)","(308,658)"
"","","","TOTAL","14,723,259","454,444,974","(15,887,576)","(451,388,059)","(1,164,317)","3,056,910","16,436"
" ","---","---","GRAND-TOTAL","14,921,267","492,654,425","(17,866,357)","(524,785,302)","(2,945,090)","(32,130,876)","(172,746)"
