"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S0005","Cement","FUT","0","0","(1,500)","(88,500)","(1,500)","(88,500)","(368)"
"BANKS / DFI","S0008","Food and Personal Care Products","FUT","0","0","(14,000)","(307,360)","(14,000)","(307,360)","(1,280)"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","FUT","0","0","(26,500)","(829,700)","(26,500)","(829,700)","(3,457)"
"BANKS / DFI","S0028","Technology and Communication","FUT","0","0","(325,500)","(37,579,860)","(325,500)","(37,579,860)","(156,582)"
"BANKS / DFI","S1111","All other Sectors","FUT","0","0","(1,000)","(144,025)","(1,000)","(144,025)","(600)"
"BANKS / DFI","S0005","Cement","OMKT","141,500","1,509,165","(141,500)","(1,509,165)","0","0","0"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","OMKT","75,000","750,000","(75,000)","(750,000)","0","0","0"
"BANKS / DFI","S1111","All other Sectors","OMKT","25,000","730,000","(25,000)","(730,000)","0","0","0"
"BANKS / DFI","S0005","Cement","REG","463,750","12,356,587","(221,500)","(4,525,674)","242,250","7,830,913","32,628"
"BANKS / DFI","S0007","Fertilizer","REG","2,412,221","131,233,256","(10,000)","(2,330,000)","2,402,221","128,903,256","537,096"
"BANKS / DFI","S0008","Food and Personal Care Products","REG","264,000","5,753,864","0","0","264,000","5,753,864","23,974"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","REG","242,500","24,951,515","(126,341)","(38,795,122)","116,159","(13,843,607)","(57,681)"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","REG","876,500","27,453,848","(25,000)","(4,063,966)","851,500","23,389,882","97,457"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","9,000,000","27,080,000","(2,206,000)","(9,594,815)","6,794,000","17,485,185","72,854"
"BANKS / DFI","S0026","Commercial Banks","REG","42,000","1,101,240","(9,787)","(1,145,079)","32,213","(43,839)","(182)"
"BANKS / DFI","S0028","Technology and Communication","REG","370,500","38,862,493","0","0","370,500","38,862,493","161,927"
"BANKS / DFI","S0029","Textile Composite","REG","350,000","16,908,663","0","0","350,000","16,908,663","70,452"
"BANKS / DFI","S1111","All other Sectors","REG","1,473,686","72,822,028","(450,565)","(12,063,998)","1,023,121","60,758,030","253,158"
"","","","TOTAL","15,736,657","361,512,659","(3,659,193)","(114,457,264)","12,077,464","247,055,395","1,029,396"
"BROKER PROPRIETARY TRADING","S0036","Debt Market","BNB","0","0","(100)","(524,375)","(100)","(524,375)","(2,184)"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","908,500","33,030,665","(696,500)","(34,196,470)","212,000","(1,165,805)","(4,857)"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","16,500","1,664,695","(24,500)","(1,599,755)","(8,000)","64,940","270"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","994,500","20,090,680","(580,000)","(11,254,000)","414,500","8,836,680","36,819"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","135,000","10,053,800","(227,500)","(16,410,680)","(92,500)","(6,356,880)","(26,487)"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","204,500","15,872,205","(82,000)","(4,532,150)","122,500","11,340,055","47,250"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","FUT","703,000","6,182,395","(2,127,000)","(8,215,340)","(1,424,000)","(2,032,945)","(8,470)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","FUT","69,500","1,215,640","(67,000)","(405,210)","2,500","810,430","3,376"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","FUT","2,292,000","214,295,665","(2,086,000)","(206,234,235)","206,000","8,061,430","33,589"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","FUT","118,500","4,872,165","(51,500)","(2,848,265)","67,000","2,023,900","8,432"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","FUT","3,575,000","101,231,165","(3,972,500)","(84,462,765)","(397,500)","16,768,400","69,868"
"BROKER PROPRIETARY TRADING","S0005","Cement","ODL","0","0","(5)","(55)","(5)","(55)","0"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","ODL","115","2,242","0","0","115","2,242","9"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","ODL","0","0","(281)","(6,783)","(281)","(6,783)","(28)"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","ODL","0","0","(401)","(5,353)","(401)","(5,353)","(22)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","ODL","86","1,496","(5)","(46)","81","1,450","6"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","ODL","1,151","40,665","(660)","(8,707)","491","31,957","133"
"BROKER PROPRIETARY TRADING","S0005","Cement","OMKT","141,500","1,509,165","(141,500)","(1,509,165)","0","0","0"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","OMKT","75,000","750,000","(75,000)","(750,000)","0","0","0"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","OMKT","113,000","10,221,240","(25,000)","(730,000)","88,000","9,491,240","39,546"
"BROKER PROPRIETARY TRADING","S0005","Cement","REG","2,975,000","111,165,353","(4,642,200)","(109,926,897)","(1,667,200)","1,238,455","5,160"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","REG","962,007","59,182,715","(2,080,348)","(90,133,937)","(1,118,341)","(30,951,222)","(128,963)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","REG","2,599,211","34,376,986","(3,121,490)","(45,495,002)","(522,279)","(11,118,016)","(46,325)"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","REG","652,004","48,901,841","(468,720)","(35,181,674)","183,284","13,720,166","57,167"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","REG","1,297,099","38,081,788","(1,449,439)","(38,445,536)","(152,340)","(363,747)","(1,515)"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","REG","7,394,097","30,221,860","(5,455,405)","(29,363,033)","1,938,692","858,826","3,578"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","REG","2,849,708","21,680,394","(989,404)","(13,656,144)","1,860,304","8,024,249","33,434"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","REG","3,255,423","281,292,770","(3,780,514)","(318,672,838)","(525,091)","(37,380,067)","(155,750)"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","REG","120,964","6,205,370","(400,599)","(16,130,095)","(279,635)","(9,924,724)","(41,353)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","REG","8,309,091","176,663,323","(7,859,163)","(185,311,692)","449,928","(8,648,369)","(36,034)"
"","","","TOTAL","39,762,456","1,228,806,283","(40,404,734)","(1,256,010,202)","(642,278)","(27,203,921)","(113,351)"
"COMPANIES","S0005","Cement","FUT","29,500","1,720,020","(43,500)","(2,024,080)","(14,000)","(304,060)","(1,266)"
"COMPANIES","S0007","Fertilizer","FUT","1,500","88,580","(1,000)","(79,590)","500","8,990","37"
"COMPANIES","S0008","Food and Personal Care Products","FUT","46,000","893,145","(135,500)","(2,673,530)","(89,500)","(1,780,385)","(7,418)"
"COMPANIES","S0019","Oil and Gas Exploration Companies","FUT","12,000","894,815","(24,000)","(1,661,505)","(12,000)","(766,690)","(3,194)"
