"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","FUT","0","0","(10,000)","(4,000,000)","(10,000)","(4,000,000)","(18,099)"
"BANKS / DFI","S0028","Technology and Communication","FUT","0","0","(58,000)","(4,684,650)","(58,000)","(4,684,650)","(21,197)"
"BANKS / DFI","S0005","Cement","REG","368,000","26,335,385","(319,873)","(25,921,656)","48,127","413,729","1,872"
"BANKS / DFI","S0007","Fertilizer","REG","15,986","3,778,130","(123,040)","(12,710,044)","(107,054)","(8,931,913)","(40,415)"
"BANKS / DFI","S0008","Food and Personal Care Products","REG","250,000","5,133,482","0","0","250,000","5,133,482","23,228"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","REG","140,000","66,218,449","(7,643)","(3,020,557)","132,357","63,197,892","285,963"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","REG","135,000","18,598,080","0","0","135,000","18,598,080","84,154"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","600,000","31,998,907","(656,607)","(20,423,340)","(56,607)","11,575,567","52,378"
"BANKS / DFI","S0026","Commercial Banks","REG","632,556","45,587,063","(101,500)","(7,418,975)","531,056","38,168,087","172,706"
"BANKS / DFI","S0028","Technology and Communication","REG","181,952","20,472,100","(860,221)","(125,790,678)","(678,269)","(105,318,578)","(476,554)"
"BANKS / DFI","S1111","All other Sectors","REG","479,600","22,659,270","(511,662)","(36,253,896)","(32,062)","(13,594,626)","(61,514)"
"","","","TOTAL","2,803,094","240,780,866","(2,648,546)","(240,223,796)","154,548","557,070","2,522"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","1,058,000","43,400,545","(2,025,000)","(63,610,455)","(967,000)","(20,209,910)","(91,447)"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","5,000","512,500","(14,000)","(1,676,550)","(9,000)","(1,164,050)","(5,267)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","622,000","10,009,090","(646,500)","(7,212,140)","(24,500)","2,796,950","12,655"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","1,396,500","103,819,975","(1,368,500)","(95,046,740)","28,000","8,773,235","39,697"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","205,500","35,145,470","(331,500)","(50,759,065)","(126,000)","(15,613,595)","(70,649)"
