"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","FUT","0","0","(50,500)","(20,165,600)","(50,500)","(20,165,600)","(97,418)"
"BANKS / DFI","S1111","All other Sectors","FUT","20,000","1,509,780","0","0","20,000","1,509,780","7,293"
"BANKS / DFI","S0005","Cement","REG","0","0","(40,000)","(17,405,624)","(40,000)","(17,405,624)","(84,085)"
"BANKS / DFI","S0007","Fertilizer","REG","798,004","71,509,535","(75,000)","(8,316,250)","723,004","63,193,285","305,281"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","REG","425,000","34,254,295","(110,000)","(43,974,497)","315,000","(9,720,202)","(46,957)"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","REG","108,678","11,951,168","(10,000)","(375,000)","98,678","11,576,168","55,923"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","52,853","2,572,040","(254,000)","(7,219,850)","(201,147)","(4,647,809)","(22,453)"
"BANKS / DFI","S0026","Commercial Banks","REG","0","0","(5,000)","(122,500)","(5,000)","(122,500)","(591)"
"BANKS / DFI","S0028","Technology and Communication","REG","15,312","2,533,241","(2,000)","(373,000)","13,312","2,160,241","10,435"
"BANKS / DFI","S1111","All other Sectors","REG","321,500","8,771,950","(505,348)","(38,251,540)","(183,848)","(29,479,590)","(142,413)"
"","","","TOTAL","1,741,347","133,102,009","(1,051,848)","(136,203,861)","689,499","(3,101,851)","(14,985)"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","312,000","15,594,065","(337,500)","(17,143,600)","(25,500)","(1,549,535)","(7,485)"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","47,000","4,218,540","(6,500)","(592,075)","40,500","3,626,465","17,519"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","149,500","2,732,265","(37,000)","(791,150)","112,500","1,941,115","9,377"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","613,000","52,568,540","(355,000)","(27,852,695)","258,000","24,715,845","119,400"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","492,500","24,847,580","(561,000)","(32,626,790)","(68,500)","(7,779,210)","(37,580)"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","FUT","160,000","657,840","(159,000)","(1,772,345)","1,000","(1,114,505)","(5,384)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","FUT","93,000","344,425","(27,500)","(570,650)","65,500","(226,225)","(1,092)"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","FUT","524,000","26,268,770","(484,500)","(26,224,205)","39,500","44,565","215"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","FUT","58,500","672,045","(116,500)","(2,958,505)","(58,000)","(2,286,460)","(11,045)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","FUT","3,110,000","104,575,350","(3,310,000)","(153,768,050)","(200,000)","(49,192,700)","(237,645)"
"BROKER PROPRIETARY TRADING","S0005","Cement","ODL","0","0","(302)","(1,585)","(302)","(1,585)","(7)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","ODL","0","0","(604)","(22,566)","(604)","(22,566)","(109)"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","ODL","0","0","(110)","(1,125)","(110)","(1,125)","(5)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","ODL","106","1,802","(6)","(62)","100","1,740","8"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","ODL","198","8,999","(370)","(9,253)","(172)","(253)","(1)"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","OMKT","0","0","(714)","(1,238,854)","(714)","(1,238,854)","(5,984)"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","OMKT","0","0","(33,549)","(2,759,870)","(33,549)","(2,759,870)","(13,332)"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","OMKT","405,500","133,762,050","(18,802)","(1,828,306)","386,698","131,933,743","637,361"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","OMKT","1,160,000","69,600,000","(197,379)","(9,332,651)","962,621","60,267,348","291,146"
"BROKER PROPRIETARY TRADING","S0005","Cement","REG","1,089,178","32,227,488","(955,044)","(28,152,695)","134,134","4,074,793","19,684"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","REG","180,955","13,206,689","(183,954)","(15,750,652)","(2,999)","(2,543,963)","(12,289)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","REG","726,809","13,848,803","(642,602)","(11,780,663)","84,207","2,068,140","9,991"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","REG","1,417,071","118,506,505","(1,583,881)","(138,114,194)","(166,810)","(19,607,688)","(94,723)"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","REG","1,705,943","90,446,446","(1,331,340)","(73,336,765)","374,603","17,109,681","82,655"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","REG","1,351,347","14,214,980","(1,405,347)","(11,866,622)","(54,000)","2,348,357","11,344"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","REG","482,991","5,966,592","(947,491)","(5,359,711)","(464,500)","606,880","2,931"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","REG","1,586,611","62,477,379","(1,480,655)","(48,048,859)","105,956","14,428,519","69,702"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","REG","717,702","18,050,830","(549,342)","(9,790,872)","168,360","8,259,958","39,903"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","REG","7,044,606","243,590,481","(8,598,143)","(235,669,353)","(1,553,537)","7,921,127","38,266"
"","","","TOTAL","23,428,517","1,048,388,464","(23,324,135)","(857,364,723)","104,382","191,023,737","922,821"
"COMPANIES","S0005","Cement","FUT","37,000","1,924,410","(19,500)","(1,406,090)","17,500","518,320","2,503"
"COMPANIES","S0007","Fertilizer","FUT","500","10,130","0","0","500","10,130","48"
"COMPANIES","S0008","Food and Personal Care Products","FUT","50,000","1,450,000","(2,000)","(26,900)","48,000","1,423,100","6,874"
"COMPANIES","S0019","Oil and Gas Exploration Companies","FUT","51,000","4,272,770","(61,000)","(4,969,490)","(10,000)","(696,720)","(3,365)"
"COMPANIES","S0020","Oil and Gas Marketing Companies","FUT","0","0","(6,500)","(800,830)","(6,500)","(800,830)","(3,868)"
"COMPANIES","S0023","Power Generation and Distribution","FUT","1,000","2,880","(4,000)","(106,345)","(3,000)","(103,465)","(499)"
"COMPANIES","S0026","Commercial Banks","FUT","0","0","(2,000)","(11,260)","(2,000)","(11,260)","(54)"
"COMPANIES","S0028","Technology and Communication","FUT","37,000","395,530","(5,500)","(284,535)","31,500","110,995","536"
"COMPANIES","S0029","Textile Composite","FUT","10,000","296,350","(13,500)","(441,805)","(3,500)","(145,455)","(702)"
"COMPANIES","S1111","All other Sectors","FUT","159,000","4,184,830","(52,500)","(8,430,590)","106,500","(4,245,760)","(20,510)"
"COMPANIES","S1111","All other Sectors","OMKT","2,007,960","20,079,600","(1,160,000)","(69,600,000)","847,960","(49,520,400)","(239,228)"
"COMPANIES","S0005","Cement","REG","17,500","1,654,155","(1,000)","(225,315)","16,500","1,428,840","6,902"
"COMPANIES","S0007","Fertilizer","REG","12,500","1,163,621","(65,500)","(7,162,714)","(53,000)","(5,999,093)","(28,981)"
"COMPANIES","S0008","Food and Personal Care Products","REG","97,000","658,070","(81,000)","(2,263,870)","16,000","(1,605,800)","(7,757)"
