"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"FOREIGN CORPORATES ","S0005","Cement","REGULAR","43,764","38,509,444","(6,647)","(1,392,667)","37,117","37,116,777","226,321"
"FOREIGN CORPORATES ","S0007","Fertilizer","REGULAR","57,117","4,420,145","(62,613)","(5,305,607)","(5,496)","(885,462)","(5,399)"
"FOREIGN CORPORATES ","S0019","Oil and Gas Exploration Companies","REGULAR","0","0","(52,060)","(9,368,464)","(52,060)","(9,368,464)","(57,124)"
"FOREIGN CORPORATES ","S0020","Oil and Gas Marketing Companies","REGULAR","17,415","905,674","0","0","17,415","905,674","5,522"
"FOREIGN CORPORATES ","S0023","Power Generation and Distribution","REGULAR","45,500","1,820,000","0","0","45,500","1,820,000","11,097"
"FOREIGN CORPORATES ","S0026","Commercial Banks","REGULAR","212,848","29,982,841","(565,195)","(72,707,953)","(352,347)","(42,725,112)","(260,518)"
"FOREIGN CORPORATES ","S0028","Technology and Communication","REGULAR","300,100","38,699,021","0","0","300,100","38,699,021","235,969"
"FOREIGN CORPORATES ","S0029","Textile Composite","REGULAR","20,500","1,999,442","0","0","20,500","1,999,442","12,191"
"FOREIGN CORPORATES ","S1111","All other Sectors","REGULAR","27,200","4,041,191","(383,360)","(12,166,906)","(356,160)","(8,125,714)","(49,547)"
"","","","TOTAL","724,444","120,377,758","(1,069,875)","(100,941,597)","(345,431)","19,436,162","118,512"
"FOREIGN INDIVIDUAL","S0008","Food and Personal Care Products","FUTURE CONTRACT-AUG","25,000","1,013,500","(25,000)","(1,023,400)","0","(9,900)","(60)"
"FOREIGN INDIVIDUAL","S0028","Technology and Communication","FUTURE CONTRACT-AUG","10,000","235,000","(5,000)","(649,950)","5,000","(414,950)","(2,530)"
"FOREIGN INDIVIDUAL","S1111","All other Sectors","FUTURE CONTRACT-AUG","25,000","1,127,750","(40,000)","(899,750)","(15,000)","228,000","1,390"
"FOREIGN INDIVIDUAL","S1111","All other Sectors","REGULAR","100,000","5,169,800","(100,000)","(5,500,000)","0","(330,200)","(2,013)"
"","","","TOTAL","160,000","7,546,050","(170,000)","(8,073,100)","(10,000)","(527,050)","(3,213)"
"OVERSEAS PAKISTANI","S0005","Cement","FUTURE CONTRACT-AUG","164,500","3,489,840","(15,500)","(1,352,005)","149,000","2,137,835","13,035"
"OVERSEAS PAKISTANI","S0007","Fertilizer","FUTURE CONTRACT-AUG","5,000","135,605","0","0","5,000","135,605","826"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","FUTURE CONTRACT-AUG","1,134,500","40,130,420","(808,000)","(29,502,040)","326,500","10,628,380","64,807"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","FUTURE CONTRACT-AUG","11,500","1,019,580","(1,000)","(82,790)","10,500","936,790","5,712"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","FUTURE CONTRACT-AUG","28,500","1,952,660","(38,000)","(2,122,660)","(9,500)","(170,000)","(1,036)"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","FUTURE CONTRACT-AUG","5,000","385,250","0","0","5,000","385,250","2,349"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","FUTURE CONTRACT-AUG","0","0","(2,000)","(70,530)","(2,000)","(70,530)","(430)"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","FUTURE CONTRACT-AUG","1,389,500","64,188,380","(938,000)","(62,736,310)","451,500","1,452,070","8,854"
"OVERSEAS PAKISTANI","S0029","Textile Composite","FUTURE CONTRACT-AUG","73,500","2,500,420","(56,000)","(2,332,485)","17,500","167,935","1,023"
"OVERSEAS PAKISTANI","S1111","All other Sectors","FUTURE CONTRACT-AUG","677,000","29,730,090","(768,500)","(27,504,680)","(91,500)","2,225,410","13,569"
"OVERSEAS PAKISTANI","S1111","All other Sectors","FUTURE CONTRACT-SEP","4,000","176,000","0","0","4,000","176,000","1,073"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","OFF-MARKET","227,000","4,515,030","(113,500)","(2,258,650)","113,500","2,256,380","13,758"
"OVERSEAS PAKISTANI","S0005","Cement","REGULAR","937,457","27,262,885","(624,532)","(19,274,042)","312,925","7,988,842","48,712"
"OVERSEAS PAKISTANI","S0007","Fertilizer","REGULAR","301,684","13,299,755","(167,844)","(8,731,874)","133,840","4,567,881","27,852"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","REGULAR","2,564,643","91,627,191","(2,526,277)","(84,991,632)","38,366","6,635,558","40,460"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","REGULAR","69,871","16,201,700","(141,514)","(15,680,698)","(71,643)","521,001","3,176"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","REGULAR","1,505,660","27,055,870","(1,503,831)","(30,721,405)","1,829","(3,665,535)","(22,350)"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","REGULAR","415,099","9,978,530","(872,113)","(11,244,668)","(457,014)","(1,266,137)","(7,720)"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","REGULAR","2,520,814","52,647,265","(2,341,785)","(56,828,668)","179,029","(4,181,403)","(25,496)"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","REGULAR","6,562,915","176,618,515","(4,055,276)","(129,305,342)","2,507,639","47,313,173","288,494"
"OVERSEAS PAKISTANI","S0029","Textile Composite","REGULAR","323,760","17,584,060","(1,541,651)","(80,076,459)","(1,217,891)","(62,492,399)","(381,051)"
"OVERSEAS PAKISTANI","S1111","All other Sectors","REGULAR","14,397,131","401,870,100","(12,657,170)","(302,686,467)","1,739,961","99,183,632","604,778"
"","","","TOTAL","33,319,034","982,369,146","(29,172,493)","(867,503,405)","4,146,541","114,865,738","700,395"
" ","---","---","GRAND-TOTAL","34,203,478","1,110,292,961","(30,412,368)","(976,518,110)","3,791,110","133,774,850","815,700"
