"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"FOREIGN CORPORATES ","S0007","Fertilizer","OFF-MARKET","0","0","(499)","(38,627)","(499)","(38,627)","(229)"
"FOREIGN CORPORATES ","S0008","Food and Personal Care Products","OFF-MARKET","1,157,944","6,947,664,000","(1,157,944)","(6,947,664,000)","0","0","0"
"FOREIGN CORPORATES ","S0005","Cement","REGULAR","400,000","7,714,965","(539,610)","(25,844,892)","(139,610)","(18,129,927)","(107,916)"
"FOREIGN CORPORATES ","S0007","Fertilizer","REGULAR","5,700","1,651,852","(607,726)","(43,074,721)","(602,026)","(41,422,868)","(246,564)"
"FOREIGN CORPORATES ","S0008","Food and Personal Care Products","REGULAR","5,000","186,000","0","0","5,000","186,000","1,107"
"FOREIGN CORPORATES ","S0019","Oil and Gas Exploration Companies","REGULAR","172,148","14,428,837","(286,847)","(37,688,264)","(114,699)","(23,259,426)","(138,448)"
"FOREIGN CORPORATES ","S0020","Oil and Gas Marketing Companies","REGULAR","0","0","(94,285)","(20,124,566)","(94,285)","(20,124,566)","(119,789)"
"FOREIGN CORPORATES ","S0023","Power Generation and Distribution","REGULAR","5,000","193,795","(749,000)","(18,347,855)","(744,000)","(18,154,060)","(108,059)"
"FOREIGN CORPORATES ","S0026","Commercial Banks","REGULAR","441,934","51,468,365","(2,439,615)","(293,429,761)","(1,997,681)","(241,961,396)","(1,440,246)"
"FOREIGN CORPORATES ","S0028","Technology and Communication","REGULAR","218,358","40,659,717","(8,800)","(6,811,200)","209,558","33,848,517","201,479"
"FOREIGN CORPORATES ","S0029","Textile Composite","REGULAR","80,000","7,644,228","0","0","80,000","7,644,228","45,501"
"FOREIGN CORPORATES ","S1111","All other Sectors","REGULAR","33,200","24,207,590","(47,339)","(7,859,183)","(14,139)","16,348,406","97,311"
"","","","TOTAL","2,519,284","7,095,819,349","(5,931,665)","(7,400,883,069)","(3,412,381)","(305,063,719)","(1,815,853)"
"FOREIGN INDIVIDUAL","S0005","Cement","FUTURE CONTRACT-SEP","0","0","(2,000)","(1,630,000)","(2,000)","(1,630,000)","(9,702)"
"FOREIGN INDIVIDUAL","S1111","All other Sectors","FUTURE CONTRACT-SEP","7,500","1,886,015","0","0","7,500","1,886,015","11,226"
"FOREIGN INDIVIDUAL","S0008","Food and Personal Care Products","REGULAR","100,000","3,699,701","0","0","100,000","3,699,701","22,022"
"FOREIGN INDIVIDUAL","S1111","All other Sectors","REGULAR","6,000","1,058,130","(3,000)","(194,970)","3,000","863,160","5,137"
