"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"FOREIGN CORPORATES ","S0026","Commercial Banks","OFF-MARKET","91,737","10,827,020","(202,237)","(18,320,025)","(110,500)","(7,493,005)","(42,095)"
"FOREIGN CORPORATES ","S0005","Cement","REGULAR","3,000","2,052,000","(215,065)","(145,245,710)","(212,065)","(143,193,710)","(804,459)"
"FOREIGN CORPORATES ","S0007","Fertilizer","REGULAR","145,732","14,416,167","(145,053)","(16,643,233)","679","(2,227,066)","(12,511)"
"FOREIGN CORPORATES ","S0008","Food and Personal Care Products","REGULAR","0","0","(1,171,105)","(29,943,812)","(1,171,105)","(29,943,812)","(168,223)"
"FOREIGN CORPORATES ","S0019","Oil and Gas Exploration Companies","REGULAR","34,800","2,953,204","(845,122)","(82,762,042)","(810,322)","(79,808,837)","(448,364)"
"FOREIGN CORPORATES ","S0020","Oil and Gas Marketing Companies","REGULAR","0","0","(53,960)","(7,780,404)","(53,960)","(7,780,404)","(43,710)"
"FOREIGN CORPORATES ","S0023","Power Generation and Distribution","REGULAR","753","54,206","0","0","753","54,206","304"
"FOREIGN CORPORATES ","S0026","Commercial Banks","REGULAR","1,194,039","140,309,876","(875,318)","(107,499,262)","318,721","32,810,613","184,329"
"FOREIGN CORPORATES ","S0028","Technology and Communication","REGULAR","0","0","(1,910,000)","(202,526,654)","(1,910,000)","(202,526,654)","(1,137,790)"
"FOREIGN CORPORATES ","S0029","Textile Composite","REGULAR","2,500","168,460","(2,500)","(168,460)","0","0","0"
"FOREIGN CORPORATES ","S1111","All other Sectors","REGULAR","260","320,260","(20,360)","(953,062)","(20,100)","(632,802)","(3,555)"
"","","","TOTAL","1,472,821","171,101,193","(5,440,720)","(611,842,664)","(3,967,899)","(440,741,471)","(2,476,074)"
"FOREIGN INDIVIDUAL","S0005","Cement","REGULAR","0","0","(1,000)","(681,000)","(1,000)","(681,000)","(3,825)"
"","","","TOTAL","0","0","(1,000)","(681,000)","(1,000)","(681,000)","(3,825)"
"OVERSEAS PAKISTANI","S0005","Cement","FUTURE CONTRACT-DEC","437,500","39,015,715","(309,000)","(31,077,565)","128,500","7,938,150","44,596"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","FUTURE CONTRACT-DEC","668,500","16,910,495","(431,000)","(9,235,845)","237,500","7,674,650","43,116"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","FUTURE CONTRACT-DEC","18,500","1,536,095","(3,500)","(286,190)","15,000","1,249,905","7,021"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","FUTURE CONTRACT-DEC","6,000","1,083,000","(13,000)","(1,840,180)","(7,000)","(757,180)","(4,253)"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","FUTURE CONTRACT-DEC","5,000","16,150","(7,000)","(504,400)","(2,000)","(488,250)","(2,742)"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","FUTURE CONTRACT-DEC","6,500","829,950","0","0","6,500","829,950","4,662"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","FUTURE CONTRACT-DEC","1,148,000","60,044,850","(1,546,500)","(54,581,985)","(398,500)","5,462,865","30,690"
"OVERSEAS PAKISTANI","S0029","Textile Composite","FUTURE CONTRACT-DEC","58,000","749,845","(181,000)","(2,328,355)","(123,000)","(1,578,510)","(8,868)"
"OVERSEAS PAKISTANI","S1111","All other Sectors","FUTURE CONTRACT-DEC","720,500","24,903,660","(949,500)","(26,950,195)","(229,000)","(2,046,535)","(11,497)"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","FUTURE CONTRACT-JAN","5,000","45,000","0","0","5,000","45,000","252"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","FUTURE CONTRACT-JAN","10,000","735,000","0","0","10,000","735,000","4,129"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","OFF-MARKET","25,000","2,625,000","(27,500)","(2,864,750)","(2,500)","(239,750)","(1,346)"
"OVERSEAS PAKISTANI","S0005","Cement","REGULAR","523,162","23,198,353","(825,413)","(36,427,344)","(302,251)","(13,228,990)","(74,320)"
"OVERSEAS PAKISTANI","S0007","Fertilizer","REGULAR","206,533","16,115,452","(119,336)","(7,300,469)","87,197","8,814,982","49,522"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","REGULAR","1,058,616","24,768,658","(1,188,206)","(20,933,003)","(129,590)","3,835,655","21,548"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","REGULAR","88,168","8,258,277","(106,837)","(9,492,211)","(18,669)","(1,233,933)","(6,932)"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","REGULAR","319,436","10,340,364","(239,523)","(4,820,274)","79,913","5,520,089","31,011"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","REGULAR","392,906","8,139,629","(530,620)","(4,577,895)","(137,714)","3,561,734","20,009"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","REGULAR","439,996","21,006,326","(532,247)","(10,285,523)","(92,251)","10,720,803","60,229"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","REGULAR","2,801,260","67,831,636","(7,384,006)","(69,921,217)","(4,582,746)","(2,089,580)","(11,739)"
"OVERSEAS PAKISTANI","S0029","Textile Composite","REGULAR","359,400","7,090,317","(360,126)","(7,406,727)","(726)","(316,410)","(1,777)"
"OVERSEAS PAKISTANI","S1111","All other Sectors","REGULAR","4,608,001","96,939,038","(5,570,808)","(104,462,376)","(962,807)","(7,523,338)","(42,265)"
"","","","TOTAL","13,905,978","432,182,810","(20,325,122)","(405,296,504)","(6,419,144)","26,886,307","151,046"
" ","---","---","GRAND-TOTAL","15,378,799","603,284,009","(25,766,842)","(1,017,820,176)","(10,388,043)","(414,536,166)","(2,328,854)"
