"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"FOREIGN CORPORATES ","S0005","Cement","REGULAR","1,208,860","238,465,998","(2,501)","(336,637)","1,206,359","238,129,360","1,526,470"
"FOREIGN CORPORATES ","S0007","Fertilizer","REGULAR","41,595","2,868,674","(47,212)","(4,534,624)","(5,617)","(1,665,949)","(10,679)"
"FOREIGN CORPORATES ","S0019","Oil and Gas Exploration Companies","REGULAR","733,792","67,999,372","(98,451)","(10,031,327)","635,341","57,968,044","371,590"
"FOREIGN CORPORATES ","S0020","Oil and Gas Marketing Companies","REGULAR","54,245","12,719,491","(6)","(1,120)","54,239","12,718,370","81,528"
"FOREIGN CORPORATES ","S0023","Power Generation and Distribution","REGULAR","2,500","114,455","(412,344)","(32,772,687)","(409,844)","(32,658,232)","(209,347)"
"FOREIGN CORPORATES ","S0026","Commercial Banks","REGULAR","129,556","17,292,240","(568,257)","(92,210,600)","(438,701)","(74,918,359)","(480,245)"
"FOREIGN CORPORATES ","S0028","Technology and Communication","REGULAR","0","0","(6,004)","(2,906,755)","(6,004)","(2,906,755)","(18,633)"
"FOREIGN CORPORATES ","S0029","Textile Composite","REGULAR","0","0","(479,500)","(47,356,840)","(479,500)","(47,356,840)","(303,569)"
"FOREIGN CORPORATES ","S1111","All other Sectors","REGULAR","14,600","4,315,633","(820,820)","(34,175,949)","(806,220)","(29,860,316)","(191,412)"
"","","","TOTAL","2,185,148","343,775,863","(2,435,095)","(224,326,539)","(249,947)","119,449,323","765,703"
"FOREIGN INDIVIDUAL","S0028","Technology and Communication","FUTURE CONTRACT-JUN","0","0","(1,000)","(164,510)","(1,000)","(164,510)","(1,054)"
"FOREIGN INDIVIDUAL","S1111","All other Sectors","FUTURE CONTRACT-JUN","4,000","1,014,660","(2,000)","(506,010)","2,000","508,650","3,260"
"FOREIGN INDIVIDUAL","S0005","Cement","REGULAR","1,000","11,250","0","0","1,000","11,250","72"
"FOREIGN INDIVIDUAL","S0019","Oil and Gas Exploration Companies","REGULAR","2,000","184,000","(10,000)","(939,909)","(8,000)","(755,909)","(4,845)"
"FOREIGN INDIVIDUAL","S0026","Commercial Banks","REGULAR","0","0","(9,413)","(1,226,513)","(9,413)","(1,226,513)","(7,862)"
"FOREIGN INDIVIDUAL","S0028","Technology and Communication","REGULAR","10,000","1,650,000","0","0","10,000","1,650,000","10,576"
"FOREIGN INDIVIDUAL","S0029","Textile Composite","REGULAR","3,000","237,700","0","0","3,000","237,700","1,523"
"FOREIGN INDIVIDUAL","S1111","All other Sectors","REGULAR","10,000","613,530","(16,000)","(461,530)","(6,000)","152,000","974"
"","","","TOTAL","30,000","3,711,140","(38,413)","(3,298,472)","(8,413)","412,668","2,644"
"OVERSEAS PAKISTANI","S0005","Cement","FUTURE CONTRACT-JUN","331,000","14,456,010","(148,500)","(12,677,325)","182,500","1,778,685","11,401"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","FUTURE CONTRACT-JUN","320,500","14,651,895","(207,000)","(9,184,980)","113,500","5,466,915","35,044"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","FUTURE CONTRACT-JUN","32,500","3,057,100","(10,000)","(938,660)","22,500","2,118,440","13,579"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","FUTURE CONTRACT-JUN","383,000","10,381,535","(344,500)","(18,154,390)","38,500","(7,772,855)","(49,825)"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","FUTURE CONTRACT-JUN","296,000","13,253,095","(215,000)","(9,322,040)","81,000","3,931,055","25,199"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","FUTURE CONTRACT-JUN","1,446,000","96,429,075","(1,299,500)","(119,315,500)","146,500","(22,886,425)","(146,707)"
"OVERSEAS PAKISTANI","S0029","Textile Composite","FUTURE CONTRACT-JUN","41,000","1,476,020","(42,500)","(1,679,500)","(1,500)","(203,480)","(1,304)"
"OVERSEAS PAKISTANI","S1111","All other Sectors","FUTURE CONTRACT-JUN","554,000","37,852,540","(448,000)","(28,747,785)","106,000","9,104,755","58,363"
"OVERSEAS PAKISTANI","S0029","Textile Composite","OFF-MARKET","0","0","(100,000)","(9,871,000)","(100,000)","(9,871,000)","(63,275)"
"OVERSEAS PAKISTANI","S1111","All other Sectors","OFF-MARKET","200,000","12,900,000","(66,500)","(199,500)","133,500","12,700,500","81,413"
"OVERSEAS PAKISTANI","S0005","Cement","REGULAR","2,241,143","81,182,602","(1,410,413)","(52,757,180)","830,730","28,425,422","182,214"
"OVERSEAS PAKISTANI","S0007","Fertilizer","REGULAR","304,153","25,588,867","(168,399)","(11,488,088)","135,754","14,100,778","90,389"
