"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S1111","All other Sectors","FUT","25,000","4,273,900","(25,000)","(4,300,000)","0","(26,100)","(113)"
"BANKS / DFI","S1111","All other Sectors","ODL","0","0","(48)","(210)","(48)","(210)","0"
"BANKS / DFI","S0005","Cement","REG","67,970","3,513,105","(448,025)","(18,987,920)","(380,055)","(15,474,815)","(67,575)"
"BANKS / DFI","S0007","Fertilizer","REG","120,000","10,220,532","(35,730)","(10,116,024)","84,270","104,508","456"
"BANKS / DFI","S0008","Food and Personal Care Products","REG","0","0","(153,000)","(1,139,700)","(153,000)","(1,139,700)","(4,976)"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","REG","60,000","4,875,458","(631,619)","(60,123,597)","(571,619)","(55,248,139)","(241,258)"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","REG","35,000","1,470,000","(289,000)","(43,039,037)","(254,000)","(41,569,037)","(181,524)"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","2,265,589","5,281,897","(1,461,964)","(24,357,767)","803,625","(19,075,869)","(83,300)"
"BANKS / DFI","S0026","Commercial Banks","REG","41,694","3,915,403","(10,900)","(1,031,929)","30,794","2,883,473","12,591"
"BANKS / DFI","S0028","Technology and Communication","REG","644,000","61,114,155","(461,000)","(21,809,126)","183,000","39,305,029","171,637"
"BANKS / DFI","S0029","Textile Composite","REG","25,000","1,021,300","0","0","25,000","1,021,300","4,459"
"BANKS / DFI","S1111","All other Sectors","REG","418,575","36,078,210","(2,715,364)","(124,351,254)","(2,296,789)","(88,273,044)","(385,471)"
"","","","TOTAL","3,702,828","131,763,960","(6,231,650)","(309,256,564)","(2,528,822)","(177,492,604)","(775,074)"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","1,351,000","54,121,855","(2,321,000)","(77,002,445)","(970,000)","(22,880,590)","(99,915)"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","21,500","1,867,190","(23,500)","(3,043,740)","(2,000)","(1,176,550)","(5,137)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","268,000","3,654,675","(197,000)","(2,582,745)","71,000","1,071,930","4,680"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","1,127,500","96,885,115","(879,500)","(74,849,500)","248,000","22,035,615","96,225"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","214,500","13,329,340","(449,000)","(24,030,065)","(234,500)","(10,700,725)","(46,728)"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","FUT","105,500","3,093,550","(346,500)","(6,008,615)","(241,000)","(2,915,065)","(12,729)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","FUT","18,000","361,240","(24,000)","(807,785)","(6,000)","(446,545)","(1,949)"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","FUT","799,000","69,343,670","(1,228,000)","(70,316,235)","(429,000)","(972,565)","(4,247)"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","FUT","143,500","2,784,390","(240,500)","(5,489,020)","(97,000)","(2,704,630)","(11,810)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","FUT","4,313,000","165,449,920","(3,504,500)","(143,863,860)","808,500","21,586,060","94,262"
"BROKER PROPRIETARY TRADING","S0005","Cement","ODL","0","0","(36)","(156)","(36)","(156)","0"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","ODL","0","0","(10)","(176)","(10)","(176)","0"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","ODL","1","6","(568)","(3,662)","(567)","(3,656)","(15)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","ODL","0","0","(26)","(471)","(26)","(471)","(2)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","ODL","380","12,852","(928)","(11,388)","(548)","1,463","6"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","OMKT","5,000,000","5,900,000","0","0","5,000,000","5,900,000","25,764"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","OMKT","0","0","(57,000)","(2,565,000)","(57,000)","(2,565,000)","(11,200)"
"BROKER PROPRIETARY TRADING","S0005","Cement","REG","5,272,468","177,056,426","(3,611,623)","(118,984,019)","1,660,845","58,072,406","253,591"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","REG","213,529","25,844,719","(202,316)","(24,944,850)","11,213","899,868","3,929"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","REG","768,930","6,606,522","(1,016,611)","(10,978,597)","(247,681)","(4,372,075)","(19,092)"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","REG","3,993,117","341,317,310","(3,459,135)","(295,306,026)","533,982","46,011,283","200,922"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","REG","1,599,474","58,183,599","(1,463,157)","(50,870,887)","136,317","7,312,711","31,933"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","REG","882,940","17,027,744","(751,872)","(18,249,308)","131,068","(1,221,563)","(5,334)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","REG","493,610","15,762,484","(556,903)","(16,069,587)","(63,293)","(307,102)","(1,341)"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","REG","4,791,908","124,767,203","(4,398,032)","(116,129,706)","393,876","8,637,497","37,718"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","REG","538,763","13,624,796","(545,263)","(13,247,134)","(6,500)","377,661","1,649"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","REG","11,904,616","312,078,931","(13,038,799)","(328,279,887)","(1,134,183)","(16,200,956)","(70,746)"
"","","","TOTAL","43,821,236","1,509,073,537","(38,315,779)","(1,403,634,864)","5,505,457","105,438,669","460,434"
"COMPANIES","S0005","Cement","FUT","39,500","1,836,120","(32,000)","(882,870)","7,500","953,250","4,162"
"COMPANIES","S0007","Fertilizer","FUT","0","0","(5,000)","(1,425,000)","(5,000)","(1,425,000)","(6,222)"
"COMPANIES","S0008","Food and Personal Care Products","FUT","6,000","87,925","0","0","6,000","87,925","383"
"COMPANIES","S0019","Oil and Gas Exploration Companies","FUT","63,500","5,401,370","(21,500)","(1,795,200)","42,000","3,606,170","15,747"
"COMPANIES","S0020","Oil and Gas Marketing Companies","FUT","4,000","265,305","0","0","4,000","265,305","1,158"
"COMPANIES","S0023","Power Generation and Distribution","FUT","11,000","226,765","(97,500)","(2,168,990)","(86,500)","(1,942,225)","(8,481)"
"COMPANIES","S0026","Commercial Banks","FUT","2,000","30,835","(13,000)","(219,815)","(11,000)","(188,980)","(825)"
"COMPANIES","S0028","Technology and Communication","FUT","57,500","3,149,745","(36,000)","(1,917,705)","21,500","1,232,040","5,380"
