"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"FOREIGN CORPORATES ","S0029","Textile Composite","FUTURE CONTRACT-JAN","0","0","(75,000)","(8,440,750)","(75,000)","(8,440,750)","(54,810)"
"FOREIGN CORPORATES ","S0005","Cement","REGULAR","2,231,550","88,960,672","(1,639,100)","(39,797,618)","592,450","49,163,054","319,240"
"FOREIGN CORPORATES ","S0007","Fertilizer","REGULAR","1,203,300","104,549,741","(175,000)","(15,847,380)","1,028,300","88,702,361","575,989"
"FOREIGN CORPORATES ","S0008","Food and Personal Care Products","REGULAR","1,581","11,092,880","0","0","1,581","11,092,880","72,031"
"FOREIGN CORPORATES ","S0019","Oil and Gas Exploration Companies","REGULAR","464,140","90,991,723","(191,480)","(29,271,383)","272,660","61,720,340","400,781"
"FOREIGN CORPORATES ","S0020","Oil and Gas Marketing Companies","REGULAR","54,600","8,128,168","(557,825)","(12,759,596)","(503,225)","(4,631,428)","(30,074)"
"FOREIGN CORPORATES ","S0023","Power Generation and Distribution","REGULAR","77,500","7,936,885","(382,550)","(31,063,985)","(305,050)","(23,127,100)","(150,175)"
"FOREIGN CORPORATES ","S0026","Commercial Banks","REGULAR","4,585,700","220,290,817","(3,352,470)","(163,239,262)","1,233,230","57,051,555","370,464"
"FOREIGN CORPORATES ","S0028","Technology and Communication","REGULAR","134,500","17,245,328","(206,500)","(5,851,440)","(72,000)","11,393,888","73,986"
"FOREIGN CORPORATES ","S0029","Textile Composite","REGULAR","21,300","2,357,183","(10,500)","(840,075)","10,800","1,517,108","9,851"
"FOREIGN CORPORATES ","S1111","All other Sectors","REGULAR","271,220","26,430,212","(620,500)","(32,795,804)","(349,280)","(6,365,592)","(41,335)"
"","","","TOTAL","9,045,391","577,983,608","(7,210,925)","(339,907,292)","1,834,466","238,076,316","1,545,948"
"FOREIGN INDIVIDUAL","S0005","Cement","FUTURE CONTRACT-JAN","5,000","86,750","(3,000)","(51,600)","2,000","35,150","228"
"FOREIGN INDIVIDUAL","S0020","Oil and Gas Marketing Companies","FUTURE CONTRACT-JAN","0","0","(5,000)","(112,550)","(5,000)","(112,550)","(730)"
"FOREIGN INDIVIDUAL","S1111","All other Sectors","FUTURE CONTRACT-JAN","6,000","381,500","(13,000)","(824,285)","(7,000)","(442,785)","(2,875)"
"FOREIGN INDIVIDUAL","S0005","Cement","REGULAR","10,000","229,300","(10,000)","(232,050)","0","(2,750)","(17)"
"FOREIGN INDIVIDUAL","S0008","Food and Personal Care Products","REGULAR","0","0","(15,000)","(285,650)","(15,000)","(285,650)","(1,854)"
"FOREIGN INDIVIDUAL","S0023","Power Generation and Distribution","REGULAR","14,000","366,970","0","0","14,000","366,970","2,382"
"FOREIGN INDIVIDUAL","S0029","Textile Composite","REGULAR","0","0","(10,800)","(1,215,209)","(10,800)","(1,215,209)","(7,890)"
