"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"FOREIGN CORPORATES ","S0005","Cement","FUTURE CONTRACT-MAY","5,000","2,300,000","0","0","5,000","2,300,000","14,375"
"FOREIGN CORPORATES ","S0023","Power Generation and Distribution","OFF-MARKET","1","77","0","0","1","77","0"
"FOREIGN CORPORATES ","S0005","Cement","REGULAR","4,495","2,057,574","(240,220)","(23,918,376)","(235,725)","(21,860,802)","(136,630)"
"FOREIGN CORPORATES ","S0007","Fertilizer","REGULAR","56,700","17,125,749","(1,431,924)","(97,918,838)","(1,375,224)","(80,793,090)","(504,956)"
"FOREIGN CORPORATES ","S0008","Food and Personal Care Products","REGULAR","0","0","(150)","(85,500)","(150)","(85,500)","(534)"
"FOREIGN CORPORATES ","S0019","Oil and Gas Exploration Companies","REGULAR","910,700","76,489,596","(1,303,522)","(124,891,283)","(392,822)","(48,401,686)","(302,510)"
"FOREIGN CORPORATES ","S0020","Oil and Gas Marketing Companies","REGULAR","0","0","(95,018)","(13,899,483)","(95,018)","(13,899,483)","(86,871)"
"FOREIGN CORPORATES ","S0023","Power Generation and Distribution","REGULAR","2,000","151,000","(449,866)","(8,867,504)","(447,866)","(8,716,504)","(54,478)"
"FOREIGN CORPORATES ","S0026","Commercial Banks","REGULAR","222,324","26,928,883","(426,524)","(36,174,587)","(204,200)","(9,245,704)","(57,785)"
"FOREIGN CORPORATES ","S0029","Textile Composite","REGULAR","0","0","(23,200)","(1,602,175)","(23,200)","(1,602,175)","(10,013)"
"FOREIGN CORPORATES ","S1111","All other Sectors","REGULAR","168,545","27,025,940","(209,800)","(8,911,898)","(41,255)","18,114,042","113,212"
"","","","TOTAL","1,369,765","152,078,820","(4,180,224)","(316,269,644)","(2,810,459)","(164,190,825)","(1,026,190)"
"FOREIGN INDIVIDUAL","S0008","Food and Personal Care Products","FUTURE CONTRACT-MAY","2,500","24,000","0","0","2,500","24,000","150"
"FOREIGN INDIVIDUAL","S0028","Technology and Communication","REGULAR","7,500","214,125","0","0","7,500","214,125","1,338"
"FOREIGN INDIVIDUAL","S1111","All other Sectors","REGULAR","0","0","(5,000)","(45,500)","(5,000)","(45,500)","(284)"
"","","","TOTAL","10,000","238,125","(5,000)","(45,500)","5,000","192,625","1,204"
"OVERSEAS PAKISTANI","S0005","Cement","FUTURE CONTRACT-APR","73,000","5,325,055","(131,500)","(3,845,125)","(58,500)","1,479,930","9,249"
"OVERSEAS PAKISTANI","S0007","Fertilizer","FUTURE CONTRACT-APR","0","0","(12,000)","(1,484,240)","(12,000)","(1,484,240)","(9,276)"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","FUTURE CONTRACT-APR","1,000","35,875","(43,500)","(418,105)","(42,500)","(382,230)","(2,388)"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","FUTURE CONTRACT-APR","368,500","35,656,035","(18,000)","(1,676,350)","350,500","33,979,685","212,373"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","FUTURE CONTRACT-APR","15,500","556,410","(36,000)","(548,250)","(20,500)","8,160","51"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","FUTURE CONTRACT-APR","25,000","603,750","(39,500)","(1,224,950)","(14,500)","(621,200)","(3,882)"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","FUTURE CONTRACT-APR","6,000","520,700","(349,000)","(11,833,170)","(343,000)","(11,312,470)","(70,702)"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","FUTURE CONTRACT-APR","3,000","50,550","(74,000)","(1,253,280)","(71,000)","(1,202,730)","(7,517)"
"OVERSEAS PAKISTANI","S0029","Textile Composite","FUTURE CONTRACT-APR","10,500","344,500","(4,000)","(276,050)","6,500","68,450","427"
"OVERSEAS PAKISTANI","S1111","All other Sectors","FUTURE CONTRACT-APR","16,000","1,127,190","(254,500)","(5,649,085)","(238,500)","(4,521,895)","(28,261)"
"OVERSEAS PAKISTANI","S0005","Cement","FUTURE CONTRACT-MAY","687,000","47,231,605","(716,500)","(47,454,925)","(29,500)","(223,320)","(1,395)"
"OVERSEAS PAKISTANI","S0007","Fertilizer","FUTURE CONTRACT-MAY","32,500","2,784,835","0","0","32,500","2,784,835","17,405"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","FUTURE CONTRACT-MAY","36,500","354,100","(12,500)","(122,815)","24,000","231,285","1,445"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","FUTURE CONTRACT-MAY","68,000","8,509,430","(235,500)","(22,402,195)","(167,500)","(13,892,765)","(86,829)"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","FUTURE CONTRACT-MAY","326,500","9,306,205","(102,000)","(1,928,565)","224,500","7,377,640","46,110"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","FUTURE CONTRACT-MAY","98,500","1,552,615","(48,500)","(1,151,105)","50,000","401,510","2,509"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","FUTURE CONTRACT-MAY","314,500","9,102,700","(1,500)","(155,290)","313,000","8,947,410","55,921"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","FUTURE CONTRACT-MAY","101,000","1,716,575","(6,000)","(102,180)","95,000","1,614,395","10,089"
"OVERSEAS PAKISTANI","S0029","Textile Composite","FUTURE CONTRACT-MAY","5,000","353,950","(8,000)","(437,760)","(3,000)","(83,810)","(523)"
"OVERSEAS PAKISTANI","S1111","All other Sectors","FUTURE CONTRACT-MAY","330,500","9,608,965","(150,000)","(4,670,575)","180,500","4,938,390","30,864"
"OVERSEAS PAKISTANI","S0005","Cement","REGULAR","767,581","38,914,611","(1,082,203)","(59,254,860)","(314,622)","(20,340,250)","(127,126)"
"OVERSEAS PAKISTANI","S0007","Fertilizer","REGULAR","59,580","5,021,396","(33,019)","(4,000,775)","26,561","1,020,622","6,378"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","REGULAR","114,910","1,223,600","(33,975)","(497,386)","80,935","726,214","4,538"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","REGULAR","295,349","30,423,686","(239,263)","(26,982,454)","56,086","3,441,232","21,507"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","REGULAR","1,034,967","21,014,659","(1,358,984)","(23,675,567)","(324,017)","(2,660,907)","(16,630)"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","REGULAR","618,981","11,162,816","(533,851)","(9,002,138)","85,130","2,160,678","13,504"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","REGULAR","68,997","3,660,800","(144,285)","(7,080,448)","(75,288)","(3,419,648)","(21,372)"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","REGULAR","619,301","4,470,960","(616,600)","(5,245,430)","2,701","(774,470)","(4,840)"
"OVERSEAS PAKISTANI","S0029","Textile Composite","REGULAR","94,900","3,670,636","(18,200)","(878,940)","76,700","2,791,696","17,448"
"OVERSEAS PAKISTANI","S1111","All other Sectors","REGULAR","1,433,982","29,781,598","(1,288,002)","(28,876,190)","145,980","905,408","5,658"
"","","","TOTAL","7,627,048","284,085,807","(7,590,882)","(272,128,202)","36,166","11,957,605","74,735"
" ","---","---","GRAND-TOTAL","9,006,813","436,402,752","(11,776,106)","(588,443,347)","(2,769,293)","(152,040,595)","(950,253)"
