,Symbol,Company Name,Industry Code,Industry Name,Lot Size,Active,Year End,IDX WT %,FF BASED SHARES,ORD SHARES
51,ASLCPS,,,,,,,2.3584173040571028e-05,118972,137920
52,ASLPS,,,,,,,0.0034625009820773724,4435706,44357057
53,ASTL,Amreli Steels Limited,808.0,ENGINEERING,1.0,1.0,6.0,0.05219376718098394,74252857,297011427
54,ASTM,Asim Textile Mills Limited,830.0,TEXTILE SPINNING,500.0,1.0,6.0,0.0016699472085602931,2276550,15177000
55,ATBA,Atlas Battery Limited,802.0,AUTOMOBILE PARTS & ACCESSORIES,1.0,1.0,6.0,0.09894556792113549,7003407,35017034
56,ATIL,Atlas Insurance Limited,812.0,INSURANCE,500.0,1.0,6.0,0.06498641969161384,29883135,149415691
57,ATLH,,,,,,,0.8094145761800757,12408794,124087935
58,ATRL,Attock Refinery Limited,825.0,REFINERY,1.0,1.0,6.0,0.4161707272686064,42646500,106616250
59,AVN,,,,,,,0.17423849944126968,124506849,415022831
60,AWTX,Allawasaya Tex. & Finishing Mills Ltd,830.0,TEXTILE SPINNING,1.0,1.0,6.0,0.007920676748515727,2851,800000
61,AZMT,,,,,,,7.212706059673006e-05,427500,950000
62,BAFL,Bank Alfalah Limited,807.0,COMMERCIAL BANKS,1.0,1.0,12.0,1.0010312311240512,709724304,1577165119
63,BAFS,Baba Farid Sugar Mills Limited,826.0,SUGAR & ALLIED INDUSTRIES,500.0,1.0,9.0,0.0032015945078207883,472500,9450000
64,BAHL,Bank AL Habib Limited,807.0,COMMERCIAL BANKS,1.0,1.0,12.0,1.1487960776408526,777997791,1111425419
65,BAPL,Bawany Air Products Limited,805.0,CHEMICAL,500.0,1.0,6.0,0.0018021579594980806,4501506,7502510
66,BATA,Bata Pakistan Limited,816.0,LEATHER & TANNERIES,1.0,1.0,12.0,0.10181647398745389,1786364,7560000
67,BBFL,,,,,,,0.13404220403200057,104617025,298905786
68,BCL,Bolan Castings Limited,808.0,ENGINEERING,500.0,1.0,6.0,0.01040072725420535,6309891,11472529
69,BECO,Beco Steel Limited,808.0,ENGINEERING,500.0,1.0,3.0,0.005959520319419126,24992502,124962510
70,BELA,,,,,,,0.006127789928515717,870000,5800000
71,BERG,Berger Paints Pakistan Limited,805.0,CHEMICAL,500.0,1.0,6.0,0.020712393930303233,9820646,24551652
72,BFBIO,,,,,,,0.13361202653440155,26500000,88333334
73,BFMOD,B.F. Modaraba,819.0,MODARABAS,500.0,1.0,6.0,0.0004730898297587946,2254547,7515158
74,BGL,Baluchistan Glass Limited,811.0,GLASS & CERAMICS,500.0,1.0,6.0,0.024272966820797857,39240000,261600000
75,BHAT,Bhanero Textile Mills Limited,829.0,TEXTILE COMPOSITE,1.0,1.0,6.0,0.019071830349665603,152048,3040964
76,BIFO,Biafo Industries Limited,805.0,CHEMICAL,1.0,1.0,6.0,0.06742920418258244,13914806,46382688
77,BIIC,,,,,,,0.0002349862138089572,3849469,8554376
78,BILF,Bilal Fibres Limited,830.0,TEXTILE SPINNING,500.0,1.0,9.0,0.0017461806853358898,11925865,14100000
79,BIPL,BankIslami Pakistan Limited,807.0,COMMERCIAL BANKS,1.0,1.0,12.0,0.19398624755413907,166305495,1108703299
80,BML,Bank Makramah Limited,807.0,COMMERCIAL BANKS,500.0,1.0,3.0,0.14300183998934493,993333086,6622220576
81,BNL,Bunnys Limited,810.0,FOOD & PERSONAL CARE PRODUCTS,500.0,1.0,6.0,0.007814558012834833,33402635,66805269
82,BNWM,Bannu Woollen Mills Limited,835.0,WOOLLEN,500.0,1.0,6.0,0.0026947569281124844,4753125,9506250
83,BOK,The Bank of Khyber,807.0,COMMERCIAL BANKS,500.0,1.0,12.0,0.13431490182721192,57902734,1158054673
84,BOP,The Bank of Punjab,807.0,COMMERCIAL BANKS,1.0,1.0,12.0,0.2249222738372306,1381780202,3271569319
85,BPL,,,,,,,0.004828851546250622,6746667,22488900
86,BRRG,,,,,,,0.01076565386861734,47504245,95008489
87,BTL,Blessed Textiles Limited,829.0,TEXTILE COMPOSITE,1.0,1.0,6.0,0.011288218816649414,964800,6432000
88,BUXL,Buxly Paints Limited,805.0,CHEMICAL,1.0,1.0,6.0,0.002130660458212026,576000,1440000
89,BWCL,Bestway Cement Limited,804.0,CEMENT,1.0,1.0,6.0,1.5593613265921082,29812639,596252783
90,BWHL,Baluchistan Wheels Limited,802.0,AUTOMOBILE PARTS & ACCESSORIES,1.0,1.0,6.0,0.014553841551998839,7333838,13334250
91,CASH,Calcorp Limited,813.0,INV. BANKS / INV. COS. / SECURITIES COS.,500.0,1.0,9.0,0.0017216843668948086,1611662,10744413
92,CCM,Crescent Cotton Mills Limited,830.0,TEXTILE SPINNING,500.0,1.0,6.0,0.010428050820956785,10197057,22660123
93,CENI,Century Insurance Company Limited,812.0,INSURANCE,500.0,1.0,12.0,0.016029693138973813,13831621,55326483
94,CEPB,,,,,,,0.09511502569854818,140599524,401712926
95,CFL,Crescent Fibres Limited,830.0,TEXTILE SPINNING,500.0,1.0,6.0,0.0041663459848171255,3725363,12417876
96,CHAS,Chashma Sugar Mills Limited,826.0,SUGAR & ALLIED INDUSTRIES,500.0,1.0,9.0,0.01383222330161146,4303800,28692000
97,CHBL,Chenab Limited,829.0,TEXTILE COMPOSITE,500.0,1.0,3.0,0.007450013817891288,38259738,115000000
98,CHCC,Cherat Cement Company Limited,804.0,CEMENT,1.0,1.0,6.0,0.4435236490513871,116577023,194295038
99,CJPL,Crescent Jute Products Limited,814.0,JUTE,500.0,1.0,6.0,0.0009283918723822495,10693561,23763468
100,CLCPS,,,,,,,0.002136532871418611,78285961,80000000
101,CLOV,Clover Pakistan Limited,810.0,FOOD & PERSONAL CARE PRODUCTS,500.0,1.0,6.0,0.01040847076438314,17128682,31143059
102,CLVL,Cordoba Logistics & Ventures Limited,833.0,TRANSPORT,500.0,1.0,6.0,0.0087426286275121,14421040,72105200
103,CNERGY,Cnergyico PK  Limited,825.0,REFINERY,1.0,1.0,6.0,0.23976873967691997,1648034271,5493447571
104,COLG,Colgate-Palmolive (Pakistan) Limited,810.0,FOOD & PERSONAL CARE PRODUCTS,1.0,1.0,6.0,2.85103372925154,24277327,242773288
105,CPHL,Citi Pharma Ltd.,823.0,PHARMACEUTICALS,1.0,1.0,6.0,0.08259600799800168,79961420,228461200
106,CPPL,Cherat Packaging Limited,822.0,"PAPER, BOARD & PACKAGING",1.0,1.0,6.0,0.0514055168441487,29457236,49095396
107,CRTM,The Crescent Textile Mills Limited,829.0,TEXTILE COMPOSITE,500.0,1.0,6.0,0.010644511984389149,60000000,100000000
108,CSAP,Crescent Steel & Allied Products Limited,808.0,ENGINEERING,500.0,1.0,6.0,0.06071228274911019,34934621,77632491
109,CSIL,Crescent Star Insurance Limited,812.0,INSURANCE,500.0,1.0,12.0,0.002695386800741793,106198638,107695041
110,CTM,Colony Textile Mills Limited,830.0,TEXTILE SPINNING,500.0,1.0,6.0,0.02029228102312955,49800996,498010000
111,CWSM,Chakwal Spinning Mills Limited,830.0,TEXTILE SPINNING,500.0,1.0,6.0,0.06909391168345544,26591521,121576200
