"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"FOREIGN CORPORATES ","S0005","Cement","REGULAR","17,465","13,382,497","(25,300)","(6,650,668)","(7,835)","6,731,829","24,042"
"FOREIGN CORPORATES ","S0019","Oil and Gas Exploration Companies","REGULAR","5,796","14,234,025","(16,282)","(2,004,026)","(10,486)","12,229,998","43,678"
"FOREIGN CORPORATES ","S0020","Oil and Gas Marketing Companies","REGULAR","5,500","872,794","(21,449)","(1,362,847)","(15,949)","(490,052)","(1,750)"
"FOREIGN CORPORATES ","S0023","Power Generation and Distribution","REGULAR","0","0","(2,209)","(257,652)","(2,209)","(257,652)","(920)"
"FOREIGN CORPORATES ","S0026","Commercial Banks","REGULAR","406,354","74,265,894","(68,313)","(8,515,496)","338,041","65,750,398","234,822"
"FOREIGN CORPORATES ","S0028","Technology and Communication","REGULAR","2,160,875","29,477,328","(43,786)","(17,811,317)","2,117,089","11,666,011","41,664"
"FOREIGN CORPORATES ","S0029","Textile Composite","REGULAR","0","0","(6,000)","(401,957)","(6,000)","(401,957)","(1,435)"
"FOREIGN CORPORATES ","S1111","All other Sectors","REGULAR","12,021","4,647,816","(94,360)","(4,841,799)","(82,339)","(193,983)","(692)"
"","","","TOTAL","2,608,011","136,880,354","(277,699)","(41,845,762)","2,330,312","95,034,592","339,409"
"FOREIGN INDIVIDUAL","S0020","Oil and Gas Marketing Companies","REGULAR","2,000","127,460","0","0","2,000","127,460","455"
"","","","TOTAL","2,000","127,460","0","0","2,000","127,460","455"
"OVERSEAS PAKISTANI","S0005","Cement","FUTURE CONTRACT-MAR","190,000","13,029,975","(31,000)","(2,358,545)","159,000","10,671,430","38,112"
"OVERSEAS PAKISTANI","S0007","Fertilizer","FUTURE CONTRACT-MAR","0","0","(5,000)","(1,680,000)","(5,000)","(1,680,000)","(6,000)"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","FUTURE CONTRACT-MAR","383,000","5,806,800","(440,000)","(10,468,485)","(57,000)","(4,661,685)","(16,648)"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","FUTURE CONTRACT-MAR","70,500","8,446,445","(91,500)","(10,913,660)","(21,000)","(2,467,215)","(8,811)"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","FUTURE CONTRACT-MAR","51,500","5,860,640","(101,000)","(11,208,605)","(49,500)","(5,347,965)","(19,099)"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","FUTURE CONTRACT-MAR","117,000","761,340","(33,500)","(210,240)","83,500","551,100","1,968"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","FUTURE CONTRACT-MAR","3,000","411,350","(8,000)","(323,585)","(5,000)","87,765","313"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","FUTURE CONTRACT-MAR","618,500","26,597,060","(899,000)","(26,809,435)","(280,500)","(212,375)","(758)"
"OVERSEAS PAKISTANI","S1111","All other Sectors","FUTURE CONTRACT-MAR","930,000","53,631,085","(440,000)","(53,789,235)","490,000","(158,150)","(564)"
"OVERSEAS PAKISTANI","S1111","All other Sectors","OFF-MARKET","0","0","(7,000)","(155,540)","(7,000)","(155,540)","(555)"
"OVERSEAS PAKISTANI","S0005","Cement","REGULAR","331,902","9,459,981","(216,707)","(12,175,788)","115,195","(2,715,806)","(9,699)"
"OVERSEAS PAKISTANI","S0007","Fertilizer","REGULAR","262,560","41,420,914","(184,674)","(15,311,754)","77,886","26,109,160","93,247"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","REGULAR","1,170,884","21,739,391","(1,931,496)","(41,645,922)","(760,612)","(19,906,531)","(71,094)"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","REGULAR","187,950","22,897,870","(184,270)","(22,065,202)","3,680","832,667","2,973"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","REGULAR","1,055,225","17,939,900","(1,134,955)","(24,939,835)","(79,730)","(6,999,935)","(24,999)"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","REGULAR","1,869,265","25,220,139","(1,149,214)","(17,034,916)","720,051","8,185,222","29,232"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","REGULAR","901,265","33,648,799","(613,641)","(40,607,591)","287,624","(6,958,792)","(24,852)"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","REGULAR","3,315,485","83,664,343","(2,264,651)","(76,130,914)","1,050,834","7,533,429","26,905"
"OVERSEAS PAKISTANI","S0029","Textile Composite","REGULAR","65,582","2,694,555","(21,292)","(339,162)","44,290","2,355,392","8,412"
"OVERSEAS PAKISTANI","S1111","All other Sectors","REGULAR","3,830,147","153,444,760","(4,338,286)","(142,932,491)","(508,139)","10,512,269","37,543"
"","","","TOTAL","15,353,765","526,675,347","(14,095,186)","(511,100,905)","1,258,579","15,574,440","55,626"
" ","---","---","GRAND-TOTAL","17,963,776","663,683,168","(14,372,885)","(552,946,677)","3,590,891","110,736,490","395,487"
