"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S0005","Cement","REG","4,656,000","309,236,378","(7,195,371)","(346,437,656)","(2,539,371)","(37,201,277)","(133,817)"
"BANKS / DFI","S0007","Fertilizer","REG","1,615,000","438,120,993","(360,000)","(42,371,080)","1,255,000","395,749,912","1,423,560"
"BANKS / DFI","S0008","Food and Personal Care Products","REG","550,000","10,603,971","(1,000,000)","(13,437,500)","(450,000)","(2,833,528)","(10,192)"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","REG","2,486,911","455,187,600","(931,526)","(218,630,260)","1,555,385","236,557,339","850,925"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","REG","1,022,763","117,097,801","(479,513)","(92,233,304)","543,250","24,864,497","89,440"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","260,000","16,582,967","(2,050,000)","(12,760,967)","(1,790,000)","3,822,000","13,748"
"BANKS / DFI","S0026","Commercial Banks","REG","1,100,000","70,298,173","(3,510,605)","(90,048,253)","(2,410,605)","(19,750,080)","(71,043)"
"BANKS / DFI","S0028","Technology and Communication","REG","500,000","36,710,974","(882,834)","(138,003,578)","(382,834)","(101,292,604)","(364,361)"
"BANKS / DFI","S0029","Textile Composite","REG","720,000","48,976,517","(234,068)","(10,329,848)","485,932","38,646,668","139,016"
"BANKS / DFI","S1111","All other Sectors","REG","5,725,475","258,921,076","(5,103,352)","(432,684,105)","622,123","(173,763,028)","(625,046)"
"","","","TOTAL","18,636,149","1,761,736,450","(21,747,269)","(1,396,936,551)","(3,111,120)","364,799,899","1,312,230"
"BROKER PROPRIETARY TRADING","S0036","Debt Market","BNB","10","54,716","0","0","10","54,716","196"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","4,459,500","185,572,585","(4,392,000)","(160,414,450)","67,500","25,158,135","90,496"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","307,000","44,832,695","(348,000)","(48,000,320)","(41,000)","(3,167,625)","(11,394)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","2,582,500","53,769,765","(5,342,000)","(83,897,205)","(2,759,500)","(30,127,440)","(108,372)"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","1,573,000","301,531,165","(1,634,500)","(313,959,785)","(61,500)","(12,428,620)","(44,707)"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","5,172,500","202,415,975","(5,420,000)","(238,013,275)","(247,500)","(35,597,300)","(128,047)"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","FUT","6,079,000","49,302,805","(7,030,500)","(58,785,025)","(951,500)","(9,482,220)","(34,108)"
