"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S0036","Debt Market","BNB","1,450","101,300,062","0","0","1,450","101,300,062","363,082"
"BANKS / DFI","S0005","Cement","FUT","0","0","(10,000)","(850,395)","(10,000)","(850,395)","(3,048)"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","FUT","0","0","(2,000)","(256,790)","(2,000)","(256,790)","(920)"
"BANKS / DFI","S0023","Power Generation and Distribution","FUT","0","0","(14,500)","(79,015)","(14,500)","(79,015)","(283)"
"BANKS / DFI","S0005","Cement","REG","7,143,658","367,819,722","(593,338)","(59,122,198)","6,550,320","308,697,523","1,106,442"
"BANKS / DFI","S0007","Fertilizer","REG","550,000","63,800,755","(133,784)","(15,553,250)","416,216","48,247,504","172,930"
"BANKS / DFI","S0008","Food and Personal Care Products","REG","0","0","(26,774)","(2,233,313)","(26,774)","(2,233,313)","(8,004)"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","REG","1,254,914","158,418,158","(6,412,619)","(837,150,853)","(5,157,705)","(678,732,694)","(2,432,733)"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","REG","1,050,000","129,335,877","(100,000)","(18,931,559)","950,000","110,404,318","395,714"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","4,814,500","25,323,132","(3,250,000)","(23,438,394)","1,564,500","1,884,737","6,755"
"BANKS / DFI","S0026","Commercial Banks","REG","5,910,379","383,380,070","(119,886)","(3,945,249)","5,790,493","379,434,820","1,359,981"
"BANKS / DFI","S0028","Technology and Communication","REG","575,000","44,959,206","(1,200,000)","(80,478,617)","(625,000)","(35,519,410)","(127,309)"
"BANKS / DFI","S1111","All other Sectors","REG","708,800","55,819,769","(1,319,250)","(75,787,751)","(610,450)","(19,967,982)","(71,569)"
"","","","TOTAL","22,008,701","1,330,156,751","(13,182,151)","(1,117,827,384)","8,826,550","212,329,365","761,038"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","3,057,500","193,276,105","(2,844,500)","(183,131,840)","213,000","10,144,265","36,359"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","188,000","9,126,860","(217,000)","(8,553,550)","(29,000)","573,310","2,054"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","3,417,000","61,507,740","(3,910,500)","(74,234,235)","(493,500)","(12,726,495)","(45,614)"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","3,227,000","415,805,950","(3,672,500)","(474,918,110)","(445,500)","(59,112,160)","(211,871)"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","1,967,500","216,489,195","(2,435,000)","(305,787,835)","(467,500)","(89,298,640)","(320,066)"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","FUT","9,445,500","78,633,350","(7,580,000)","(58,387,960)","1,865,500","20,245,390","72,564"
