"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S0005","Cement","REG","225,000","40,471,243","(950,731)","(38,437,793)","(725,731)","2,033,449","7,314"
"BANKS / DFI","S0007","Fertilizer","REG","17,632","2,406,768","(19,500)","(936,105)","(1,868)","1,470,662","5,290"
"BANKS / DFI","S0008","Food and Personal Care Products","REG","0","0","(260,000)","(9,146,804)","(260,000)","(9,146,804)","(32,902)"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","REG","731,846","83,316,468","0","0","731,846","83,316,468","299,699"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","REG","0","0","(25,000)","(1,575,000)","(25,000)","(1,575,000)","(5,665)"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","1,000,000","4,703,872","(6,500,000)","(30,322,591)","(5,500,000)","(25,618,718)","(92,153)"
"BANKS / DFI","S0026","Commercial Banks","REG","350,000","32,229,367","(386,000)","(44,724,568)","(36,000)","(12,495,200)","(44,946)"
"BANKS / DFI","S0028","Technology and Communication","REG","0","0","(214,500)","(54,371,594)","(214,500)","(54,371,594)","(195,581)"
"BANKS / DFI","S0029","Textile Composite","REG","100,000","7,091,472","(100,000)","(7,065,927)","0","25,544","91"
"BANKS / DFI","S1111","All other Sectors","REG","1,177,613","108,825,261","(263,383)","(19,414,904)","914,230","89,410,357","321,619"
"","","","TOTAL","3,602,091","279,044,451","(8,719,114)","(205,995,286)","(5,117,023)","73,049,164","262,766"
"BROKER PROPRIETARY TRADING","S0036","Debt Market","BNB","2,007","184,519,459","(2)","(8,646)","2,005","184,510,813","663,707"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","1,339,000","87,929,645","(1,383,000)","(82,775,495)","(44,000)","5,154,150","18,540"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","52,000","2,248,515","(5,500)","(168,350)","46,500","2,080,165","7,482"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","871,000","19,616,840","(831,000)","(17,714,440)","40,000","1,902,400","6,843"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","132,500","15,839,705","(156,500)","(18,843,625)","(24,000)","(3,003,920)","(10,805)"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","113,500","11,428,760","(119,000)","(7,465,985)","(5,500)","3,962,775","14,254"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","FUT","310,500","5,376,770","(198,000)","(5,233,880)","112,500","142,890","513"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","FUT","1,247,000","47,540,405","(668,000)","(25,567,820)","579,000","21,972,585","79,038"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","FUT","4,356,000","105,419,115","(4,357,000)","(112,515,570)","(1,000)","(7,096,455)","(25,526)"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","FUT","87,500","3,442,925","(163,000)","(7,480,465)","(75,500)","(4,037,540)","(14,523)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","FUT","2,837,000","291,669,360","(2,661,500)","(324,090,565)","175,500","(32,421,205)","(116,623)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","GEM","0","0","(177,500)","(1,242,500)","(177,500)","(1,242,500)","(4,469)"
"BROKER PROPRIETARY TRADING","S0005","Cement","OMKT","50,000","1,271,500","0","0","50,000","1,271,500","4,573"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","OMKT","700,000","14,662,500","0","0","700,000","14,662,500","52,742"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","OMKT","25,000","4,028,750","0","0","25,000","4,028,750","14,491"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","OMKT","2,000","414,720","0","0","2,000","414,720","1,491"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","OMKT","5,385,000","12,104,250","0","0","5,385,000","12,104,250","43,540"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","OMKT","2,442,740","82,626,900","(1,556,556)","(38,691,072)","886,184","43,935,827","158,042"
"BROKER PROPRIETARY TRADING","S0005","Cement","REG","3,221,179","186,361,709","(3,404,336)","(211,539,579)","(183,157)","(25,177,870)","(90,567)"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","REG","101,739","12,413,161","(196,009)","(23,841,796)","(94,270)","(11,428,634)","(41,110)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","REG","1,232,967","32,935,262","(1,695,986)","(34,994,338)","(463,019)","(2,059,075)","(7,406)"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","REG","891,863","108,724,221","(1,239,854)","(148,737,225)","(347,991)","(40,013,003)","(143,931)"
