"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S0005","Cement","REG","7,546,393","680,482,651","(3,981,655)","(194,642,211)","3,564,738","485,840,440","1,747,627"
"BANKS / DFI","S0007","Fertilizer","REG","1,118,377","242,207,960","(555,582)","(101,537,834)","562,795","140,670,126","506,007"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","REG","2,505,542","672,570,630","(267,732)","(61,020,458)","2,237,810","611,550,172","2,199,820"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","REG","1,031,651","120,805,928","(1,343,401)","(237,156,091)","(311,750)","(116,350,162)","(418,525)"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","929,540","17,904,958","(2,007,454)","(34,796,064)","(1,077,914)","(16,891,106)","(60,759)"
"BANKS / DFI","S0026","Commercial Banks","REG","2,172,735","156,807,136","(5,846,354)","(359,705,160)","(3,673,619)","(202,898,024)","(729,849)"
"BANKS / DFI","S0028","Technology and Communication","REG","1,098,538","29,670,161","(410,000)","(61,610,737)","688,538","(31,940,575)","(114,894)"
"BANKS / DFI","S0029","Textile Composite","REG","100,000","8,146,447","(195,805)","(12,620,634)","(95,805)","(4,474,187)","(16,094)"
"BANKS / DFI","S1111","All other Sectors","REG","5,553,829","429,519,733","(5,573,770)","(283,394,776)","(19,941)","146,124,957","525,629"
"","","","TOTAL","22,056,605","2,358,115,604","(20,181,753)","(1,346,483,965)","1,874,852","1,011,631,641","3,638,962"
"BROKER PROPRIETARY TRADING","S0036","Debt Market","BNB","0","0","(254)","(1,373,405)","(254)","(1,373,405)","(4,940)"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","4,313,000","171,284,595","(4,198,000)","(171,289,790)","115,000","(5,195)","(18)"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","342,000","92,518,540","(449,000)","(61,449,835)","(107,000)","31,068,705","111,757"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","3,559,000","78,344,505","(1,502,000)","(26,627,125)","2,057,000","51,717,380","186,033"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","718,500","132,454,585","(327,000)","(58,440,645)","391,500","74,013,940","266,237"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","4,453,500","234,674,320","(5,273,500)","(240,699,310)","(820,000)","(6,024,990)","(21,672)"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","FUT","2,050,500","18,427,780","(2,519,500)","(21,631,695)","(469,000)","(3,203,915)","(11,524)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","FUT","2,989,500","104,337,045","(3,467,000)","(67,093,885)","(477,500)","37,243,160","133,968"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","FUT","9,137,500","477,765,775","(14,878,500)","(585,695,965)","(5,741,000)","(107,930,190)","(388,238)"
