"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S0005","Cement","REG","35,000","7,944,393","(399,000)","(14,713,725)","(364,000)","(6,769,332)","(43,673)"
"BANKS / DFI","S0007","Fertilizer","REG","386,100","44,083,386","(467,600)","(52,029,996)","(81,500)","(7,946,610)","(51,268)"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","REG","325,000","52,525,277","(614,800)","(71,141,399)","(289,800)","(18,616,122)","(120,104)"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","REG","28,400","1,394,010","(562,200)","(71,947,644)","(533,800)","(70,553,634)","(455,184)"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","177,000","11,991,395","(206,000)","(14,939,200)","(29,000)","(2,947,805)","(19,018)"
"BANKS / DFI","S0026","Commercial Banks","REG","352,300","23,329,719","(605,900)","(60,721,733)","(253,600)","(37,392,014)","(241,238)"
"BANKS / DFI","S0028","Technology and Communication","REG","150,000","2,506,595","(215,000)","(1,592,995)","(65,000)","913,600","5,894"
"BANKS / DFI","S0029","Textile Composite","REG","482,300","29,214,622","(165,000)","(8,810,910)","317,300","20,403,712","131,636"
"BANKS / DFI","S1111","All other Sectors","REG","1,338,000","24,269,929","(1,166,800)","(64,600,471)","171,200","(40,330,542)","(260,197)"
"","","","TOTAL","3,274,100","197,259,326","(4,402,300)","(360,498,073)","(1,128,200)","(163,238,747)","(1,053,152)"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","4,907,500","174,986,565","(4,134,500)","(155,375,105)","773,000","19,611,460","126,525"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","314,000","23,901,730","(291,500)","(20,034,610)","22,500","3,867,120","24,949"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","76,500","1,653,500","(170,500)","(2,002,520)","(94,000)","(349,020)","(2,251)"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","250,500","31,179,590","(717,500)","(86,055,335)","(467,000)","(54,875,745)","(354,037)"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","1,169,000","110,929,725","(962,500)","(87,095,445)","206,500","23,834,280","153,769"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","FUT","143,500","945,860","(154,500)","(1,228,470)","(11,000)","(282,610)","(1,823)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","FUT","999,000","14,752,510","(2,641,500)","(29,149,530)","(1,642,500)","(14,397,020)","(92,884)"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","FUT","1,014,500","18,222,455","(937,500)","(21,061,905)","77,000","(2,839,450)","(18,319)"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","FUT","98,000","5,680,720","(197,500)","(15,326,225)","(99,500)","(9,645,505)","(62,229)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","FUT","5,619,000","175,948,630","(4,595,500)","(164,955,890)","1,023,500","10,992,740","70,920"
"BROKER PROPRIETARY TRADING","S0005","Cement","ODL","432","19,569","(5)","(25)","427","19,544","126"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","ODL","487","7,812","(3)","(49)","484","7,763","50"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","ODL","1","1,074","(1)","(1,070)","0","4","0"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","ODL","0","0","(202)","(3,524)","(202)","(3,524)","(22)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","ODL","208","3,278","(392)","(349)","(184)","2,929","18"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","ODL","1","28","0","0","1","28","0"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","ODL","821","10,109","(1,170)","(33,409)","(349)","(23,301)","(150)"
"BROKER PROPRIETARY TRADING","S0005","Cement","OMKT","50,000","1,164,000","0","0","50,000","1,164,000","7,509"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","OMKT","0","0","(20,000)","(3,120,400)","(20,000)","(3,120,400)","(20,131)"
"BROKER PROPRIETARY TRADING","S0005","Cement","REG","5,811,500","259,331,575","(5,183,200)","(157,722,365)","628,300","101,609,210","655,543"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","REG","1,033,700","79,662,163","(1,105,400)","(82,414,763)","(71,700)","(2,752,600)","(17,758)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","REG","975,000","15,783,395","(1,313,000)","(20,498,195)","(338,000)","(4,714,800)","(30,418)"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","REG","1,635,980","193,432,068","(826,900)","(99,537,541)","809,080","93,894,527","605,771"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","REG","1,239,900","124,070,526","(936,500)","(85,190,094)","303,400","38,880,432","250,841"
