"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S0007","Fertilizer","FUT","43,500","4,501,245","(34,500)","(3,653,550)","9,000","847,695","6,098"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","ODL","0","0","(121)","(22,007)","(121)","(22,007)","(158)"
"BANKS / DFI","S0005","Cement","REG","8,500","2,636,625","(53,500)","(695,735)","(45,000)","1,940,890","13,963"
"BANKS / DFI","S0007","Fertilizer","REG","80,000","10,014,104","(695,200)","(56,008,476)","(615,200)","(45,994,372)","(330,894)"
"BANKS / DFI","S0008","Food and Personal Care Products","REG","1,000","192,000","(50,000)","(1,683,315)","(49,000)","(1,491,315)","(10,728)"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","REG","216,100","31,725,392","(667,900)","(112,771,102)","(451,800)","(81,045,710)","(583,062)"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","REG","56,000","10,026,176","(88,500)","(7,907,040)","(32,500)","2,119,136","15,245"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","700,000","4,481,830","(200,000)","(1,290,000)","500,000","3,191,830","22,962"
"BANKS / DFI","S0026","Commercial Banks","REG","188,000","24,531,271","(807,000)","(30,795,810)","(619,000)","(6,264,539)","(45,068)"
"BANKS / DFI","S0028","Technology and Communication","REG","425,000","10,418,245","(575,000)","(14,107,655)","(150,000)","(3,689,410)","(26,542)"
"BANKS / DFI","S0029","Textile Composite","REG","262,300","23,795,247","(212,300)","(17,038,161)","50,000","6,757,086","48,612"
"BANKS / DFI","S1111","All other Sectors","REG","302,000","14,255,599","(125,000)","(13,923,421)","177,000","332,178","2,389"
"","","","TOTAL","2,282,400","136,577,734","(3,509,021)","(259,896,272)","(1,226,621)","(123,318,538)","(887,183)"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","799,500","65,641,060","(615,000)","(46,504,115)","184,500","19,136,945","137,675"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","340,500","60,040,875","(302,000)","(54,778,875)","38,500","5,262,000","37,856"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","195,500","7,421,795","(110,000)","(4,475,320)","85,500","2,946,475","21,197"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","588,500","96,049,520","(535,500)","(93,926,040)","53,000","2,123,480","15,276"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","412,000","31,983,250","(405,000)","(25,997,080)","7,000","5,986,170","43,065"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","FUT","123,000","787,820","(736,000)","(4,737,005)","(613,000)","(3,949,185)","(28,411)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","FUT","565,000","16,666,875","(854,000)","(19,829,805)","(289,000)","(3,162,930)","(22,754)"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","FUT","616,000","15,159,780","(988,000)","(24,291,715)","(372,000)","(9,131,935)","(65,697)"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","FUT","379,500","22,717,255","(282,500)","(21,764,670)","97,000","952,585","6,853"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","FUT","5,278,500","160,205,885","(5,894,000)","(184,179,655)","(615,500)","(23,973,770)","(172,473)"
"BROKER PROPRIETARY TRADING","S0005","Cement","ODL","196","1,548","(2)","(16)","194","1,532","11"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","ODL","250","6,189","(316)","(7,928)","(66)","(1,739)","(12)"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","ODL","499","12,770","(235)","(6,032)","264","6,738","48"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","ODL","486","10,509","(7)","(18)","479","10,491","75"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","ODL","0","0","(200)","(10,172)","(200)","(10,172)","(73)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","ODL","1,253","19,657","(1,763)","(49,345)","(510)","(29,688)","(213)"
"BROKER PROPRIETARY TRADING","S0005","Cement","OMKT","300","25,434","0","0","300","25,434","182"
"BROKER PROPRIETARY TRADING","S0005","Cement","REG","1,518,700","98,971,928","(1,139,500)","(86,475,309)","379,200","12,496,619","89,903"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","REG","1,064,700","160,205,695","(1,246,100)","(202,075,684)","(181,400)","(41,869,989)","(301,222)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","REG","189,500","7,644,020","(340,500)","(12,680,730)","(151,000)","(5,036,710)","(36,235)"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","REG","2,964,520","495,236,333","(2,029,080)","(330,670,819)","935,440","164,565,514","1,183,924"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","REG","880,500","68,260,261","(868,500)","(69,906,194)","12,000","(1,645,933)","(11,841)"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","REG","1,258,000","10,203,590","(507,000)","(5,407,940)","751,000","4,795,650","34,501"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","REG","3,816,700","113,397,991","(3,836,500)","(99,341,341)","(19,800)","14,056,650","101,126"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","REG","1,832,400","46,319,563","(1,583,000)","(54,210,351)","249,400","(7,890,788)","(56,768)"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","REG","931,400","57,562,102","(662,500)","(39,007,383)","268,900","18,554,719","133,487"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","REG","9,363,520","296,627,061","(9,223,300)","(273,894,129)","140,220","22,732,932","163,546"
"","","","TOTAL","33,120,924","1,831,178,766","(32,160,503)","(1,654,227,672)","960,421","176,951,094","1,273,026"
"COMPANIES","S0005","Cement","FUT","43,000","1,802,605","(3,000)","(136,000)","40,000","1,666,605","11,989"
"COMPANIES","S0007","Fertilizer","FUT","56,500","5,427,575","0","0","56,500","5,427,575","39,047"
"COMPANIES","S0008","Food and Personal Care Products","FUT","67,500","2,259,745","(45,500)","(1,531,815)","22,000","727,930","5,236"
"COMPANIES","S0019","Oil and Gas Exploration Companies","FUT","2,000","954,000","(6,000)","(2,888,105)","(4,000)","(1,934,105)","(13,914)"
"COMPANIES","S0020","Oil and Gas Marketing Companies","FUT","0","0","(3,500)","(838,750)","(3,500)","(838,750)","(6,034)"
"COMPANIES","S0026","Commercial Banks","FUT","0","0","(55,000)","(713,500)","(55,000)","(713,500)","(5,133)"
"COMPANIES","S0028","Technology and Communication","FUT","65,500","1,602,850","(62,500)","(1,536,700)","3,000","66,150","475"
"COMPANIES","S0029","Textile Composite","FUT","5,000","701,000","(15,000)","(828,750)","(10,000)","(127,750)","(919)"
"COMPANIES","S1111","All other Sectors","FUT","586,000","16,850,155","(188,500)","(6,444,330)","397,500","10,405,825","74,862"
"COMPANIES","S1111","All other Sectors","ODL","499","3,877","0","0","499","3,877","27"
"COMPANIES","S0005","Cement","REG","405,500","34,670,905","(348,300)","(16,936,973)","57,200","17,733,932","127,582"
"COMPANIES","S0007","Fertilizer","REG","48,500","12,352,817","(304,800)","(84,750,261)","(256,300)","(72,397,444)","(520,844)"
"COMPANIES","S0008","Food and Personal Care Products","REG","71,450","3,477,365","(12,500)","(376,050)","58,950","3,101,315","22,311"
"COMPANIES","S0019","Oil and Gas Exploration Companies","REG","732,500","154,978,828","(326,900)","(60,958,390)","405,600","94,020,438","676,406"
