"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S1111","All other Sectors","BNB","936","90,832,168","0","0","936","90,832,168","567,701"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","FUT","0","0","(25,000)","(3,349,500)","(25,000)","(3,349,500)","(20,934)"
"BANKS / DFI","S1111","All other Sectors","ODL","0","0","(400)","(1,000)","(400)","(1,000)","(6)"
"BANKS / DFI","S0005","Cement","REG","2,317,900","72,107,824","(17,700)","(6,157,300)","2,300,200","65,950,524","412,190"
"BANKS / DFI","S0007","Fertilizer","REG","50,000","3,232,500","(188,000)","(22,956,400)","(138,000)","(19,723,900)","(123,274)"
"BANKS / DFI","S0008","Food and Personal Care Products","REG","0","0","(160,000)","(7,428,675)","(160,000)","(7,428,675)","(46,429)"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","REG","592,500","68,353,839","(156,200)","(40,040,540)","436,300","28,313,299","176,958"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","REG","50,000","6,764,474","(44,500)","(2,580,555)","5,500","4,183,919","26,149"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","100,000","3,339,500","(1,075,000)","(65,152,300)","(975,000)","(61,812,800)","(386,330)"
"BANKS / DFI","S0026","Commercial Banks","REG","1,915,000","31,401,105","(1,254,000)","(92,596,884)","661,000","(61,195,779)","(382,473)"
"BANKS / DFI","S0028","Technology and Communication","REG","240,000","3,180,565","0","0","240,000","3,180,565","19,878"
"BANKS / DFI","S0029","Textile Composite","REG","20,000","1,385,235","(315,500)","(21,261,573)","(295,500)","(19,876,338)","(124,227)"
"BANKS / DFI","S1111","All other Sectors","REG","336,200","24,397,258","(510,800)","(16,011,851)","(174,600)","8,385,407","52,408"
"","","","TOTAL","5,622,536","304,994,468","(3,747,100)","(277,536,578)","1,875,436","27,457,890","171,611"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","BNB","5","487,713","0","0","5","487,713","3,048"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","3,383,000","153,176,845","(2,158,500)","(91,092,430)","1,224,500","62,084,415","388,027"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","438,500","34,332,140","(128,500)","(12,899,335)","310,000","21,432,805","133,955"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","261,500","2,639,210","(227,500)","(2,490,900)","34,000","148,310","926"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","768,000","97,663,265","(821,000)","(95,366,420)","(53,000)","2,296,845","14,355"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","689,000","38,841,295","(266,500)","(16,274,145)","422,500","22,567,150","141,044"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","FUT","212,000","4,145,065","(235,000)","(2,668,010)","(23,000)","1,477,055","9,231"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","FUT","2,359,000","37,786,665","(1,135,000)","(18,718,055)","1,224,000","19,068,610","119,178"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","FUT","2,973,500","50,303,650","(2,669,000)","(41,322,190)","304,500","8,981,460","56,134"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","FUT","566,000","20,041,190","(84,000)","(4,371,745)","482,000","15,669,445","97,934"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","FUT","6,554,500","151,316,460","(4,884,000)","(118,414,360)","1,670,500","32,902,100","205,638"
"BROKER PROPRIETARY TRADING","S0005","Cement","ODL","94","1,697","(97)","(1,786)","(3)","(89)","0"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","ODL","278","3,209","(278)","(3,297)","0","(88)","0"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","ODL","0","0","(48)","(17,534)","(48)","(17,534)","(109)"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","ODL","350","5,760","(64)","(9,783)","286","(4,023)","(25)"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","ODL","0","0","(319)","(20,493)","(319)","(20,493)","(128)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","ODL","175","2,126","(1,124)","(28,266)","(949)","(26,140)","(163)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","OMKT","0","0","(1,000,000)","(9,750,000)","(1,000,000)","(9,750,000)","(60,937)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","OMKT","150,000","532,500","(181,530)","(874,931)","(31,530)","(342,431)","(2,140)"
"BROKER PROPRIETARY TRADING","S0005","Cement","REG","3,612,300","108,378,696","(5,232,600)","(186,995,440)","(1,620,300)","(78,616,744)","(491,354)"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","REG","542,800","65,373,958","(828,300)","(68,072,593)","(285,500)","(2,698,635)","(16,866)"
