"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S0026","Commercial Banks","OMKT","120,000","14,280,000","0","0","120,000","14,280,000","89,250"
"BANKS / DFI","S0005","Cement","REG","45,000","14,888,655","(219,400)","(72,536,466)","(174,400)","(57,647,811)","(360,298)"
"BANKS / DFI","S0007","Fertilizer","REG","40,000","9,037,450","(67,800)","(15,298,636)","(27,800)","(6,261,186)","(39,132)"
"BANKS / DFI","S0008","Food and Personal Care Products","REG","0","0","(10,000)","(459,930)","(10,000)","(459,930)","(2,874)"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","REG","239,500","25,840,528","(225,000)","(24,327,098)","14,500","1,513,430","9,458"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","REG","175,400","13,509,840","(296,500)","(14,700,265)","(121,100)","(1,190,425)","(7,440)"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","305,000","8,873,200","(303,000)","(8,672,330)","2,000","200,870","1,255"
"BANKS / DFI","S0026","Commercial Banks","REG","75,000","3,493,750","(3,500)","(101,500)","71,500","3,392,250","21,201"
"BANKS / DFI","S0029","Textile Composite","REG","75,600","4,874,829","(201,100)","(13,034,651)","(125,500)","(8,159,822)","(50,998)"
"BANKS / DFI","S1111","All other Sectors","REG","0","0","(281,500)","(7,503,140)","(281,500)","(7,503,140)","(46,894)"
"","","","TOTAL","1,075,500","94,798,252","(1,607,800)","(156,634,016)","(532,300)","(61,835,764)","(386,472)"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","2,678,000","94,466,135","(1,674,000)","(76,859,995)","1,004,000","17,606,140","110,038"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","370,000","44,080,515","(337,500)","(31,294,950)","32,500","12,785,565","79,909"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","17,500","343,950","(47,000)","(930,165)","(29,500)","(586,215)","(3,663)"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","294,500","34,918,380","(655,000)","(76,011,225)","(360,500)","(41,092,845)","(256,830)"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","445,000","21,431,955","(91,500)","(9,385,240)","353,500","12,046,715","75,291"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","FUT","161,500","3,157,665","(35,000)","(1,064,015)","126,500","2,093,650","13,085"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","FUT","107,500","12,940,455","(60,500)","(4,287,660)","47,000","8,652,795","54,079"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","FUT","1,468,000","18,108,905","(894,500)","(11,995,775)","573,500","6,113,130","38,207"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","FUT","111,000","7,208,000","(73,500)","(4,231,440)","37,500","2,976,560","18,603"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","FUT","1,868,500","58,217,265","(2,434,500)","(62,619,780)","(566,000)","(4,402,515)","(27,515)"
"BROKER PROPRIETARY TRADING","S0005","Cement","ODL","107","1,897","(715)","(7,382)","(608)","(5,485)","(34)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","ODL","70","704","0","0","70","704","4"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","ODL","101","1,571","(140)","(3,857)","(39)","(2,287)","(14)"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","ODL","0","0","(170)","(14,025)","(170)","(14,025)","(87)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","ODL","1,110","14,314","(606)","(9,685)","504","4,629","28"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","OMKT","0","0","(120,000)","(14,280,000)","(120,000)","(14,280,000)","(89,250)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","OMKT","0","0","(98,500)","(6,001,105)","(98,500)","(6,001,105)","(37,506)"
"BROKER PROPRIETARY TRADING","S0005","Cement","REG","1,646,900","90,087,233","(2,490,500)","(100,731,824)","(843,600)","(10,644,591)","(66,528)"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","REG","762,000","68,436,945","(550,900)","(59,237,521)","211,100","9,199,424","57,496"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","REG","63,560","1,578,805","(52,500)","(671,655)","11,060","907,150","5,669"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","REG","1,698,500","192,483,903","(1,142,500)","(130,016,741)","556,000","62,467,162","390,419"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","REG","529,300","26,070,520","(1,369,500)","(53,517,197)","(840,200)","(27,446,677)","(171,541)"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","REG","360,000","10,720,175","(807,000)","(16,719,015)","(447,000)","(5,998,840)","(37,492)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","REG","1,029,900","27,483,760","(888,600)","(32,366,174)","141,300","(4,882,414)","(30,515)"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","REG","900,000","12,122,065","(1,140,000)","(14,284,830)","(240,000)","(2,162,765)","(13,517)"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","REG","140,000","7,237,224","(132,500)","(8,508,751)","7,500","(1,271,527)","(7,947)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","REG","2,544,700","60,787,438","(3,044,500)","(78,705,751)","(499,800)","(17,918,313)","(111,989)"
"","","","TOTAL","17,197,748","791,899,778","(18,141,631)","(793,755,758)","(943,883)","(1,855,980)","(11,600)"
"COMPANIES","S0005","Cement","FUT","285,500","13,457,330","(745,000)","(19,946,675)","(459,500)","(6,489,345)","(40,558)"
"COMPANIES","S0007","Fertilizer","FUT","24,500","5,566,125","(25,500)","(3,608,025)","(1,000)","1,958,100","12,238"
"COMPANIES","S0008","Food and Personal Care Products","FUT","10,000","88,500","0","0","10,000","88,500","553"
"COMPANIES","S0019","Oil and Gas Exploration Companies","FUT","22,500","2,459,010","(10,500)","(1,146,895)","12,000","1,312,115","8,200"
"COMPANIES","S0020","Oil and Gas Marketing Companies","FUT","17,500","1,583,080","(264,500)","(11,901,795)","(247,000)","(10,318,715)","(64,491)"
"COMPANIES","S0026","Commercial Banks","FUT","12,500","1,304,950","0","0","12,500","1,304,950","8,155"
"COMPANIES","S0028","Technology and Communication","FUT","129,500","1,590,705","(75,500)","(929,890)","54,000","660,815","4,130"
"COMPANIES","S0029","Textile Composite","FUT","0","0","(500)","(33,250)","(500)","(33,250)","(207)"
"COMPANIES","S1111","All other Sectors","FUT","37,000","2,319,625","(39,000)","(2,028,385)","(2,000)","291,240","1,820"
"COMPANIES","S0029","Textile Composite","ODL","85","13,600","0","0","85","13,600","85"
"COMPANIES","S1111","All other Sectors","ODL","0","0","(72)","(476)","(72)","(476)","(2)"
"COMPANIES","S0005","Cement","REG","269,600","8,568,307","(219,800)","(10,138,256)","49,800","(1,569,949)","(9,812)"
"COMPANIES","S0007","Fertilizer","REG","465,800","81,139,729","(33,300)","(6,052,090)","432,500","75,087,639","469,297"
"COMPANIES","S0008","Food and Personal Care Products","REG","0","0","(160)","(1,036,840)","(160)","(1,036,840)","(6,480)"
"COMPANIES","S0019","Oil and Gas Exploration Companies","REG","95,600","19,564,338","(106,700)","(34,512,940)","(11,100)","(14,948,602)","(93,428)"
"COMPANIES","S0020","Oil and Gas Marketing Companies","REG","56,100","4,882,620","(96,000)","(12,290,121)","(39,900)","(7,407,501)","(46,296)"
"COMPANIES","S0023","Power Generation and Distribution","REG","636,000","39,181,950","(946,500)","(57,553,675)","(310,500)","(18,371,725)","(114,823)"
"COMPANIES","S0026","Commercial Banks","REG","987,500","49,484,312","(12,500)","(1,301,600)","975,000","48,182,712","301,141"
"COMPANIES","S0028","Technology and Communication","REG","35,500","444,705","(160,500)","(7,440,100)","(125,000)","(6,995,395)","(43,721)"
"COMPANIES","S0029","Textile Composite","REG","500","80,000","(10,000)","(397,625)","(9,500)","(317,625)","(1,985)"
"COMPANIES","S1111","All other Sectors","REG","2,971,800","94,225,554","(1,137,900)","(20,362,781)","1,833,900","73,862,773","461,642"
"","","","TOTAL","6,057,485","325,954,440","(3,883,932)","(190,681,419)","2,173,553","135,273,021","845,458"
"INDIVIDUALS","S0005","Cement","FUT","8,217,000","356,721,515","(8,117,500)","(361,876,540)","99,500","(5,155,025)","(32,218)"
"INDIVIDUALS","S0007","Fertilizer","FUT","487,500","58,303,995","(508,000)","(72,367,115)","(20,500)","(14,063,120)","(87,894)"
"INDIVIDUALS","S0008","Food and Personal Care Products","FUT","68,000","753,520","(102,500)","(1,247,755)","(34,500)","(494,235)","(3,088)"
"INDIVIDUALS","S0019","Oil and Gas Exploration Companies","FUT","1,030,000","133,649,955","(690,000)","(98,711,600)","340,000","34,938,355","218,364"
"INDIVIDUALS","S0020","Oil and Gas Marketing Companies","FUT","734,000","53,800,045","(859,000)","(58,072,195)","(125,000)","(4,272,150)","(26,700)"
"INDIVIDUALS","S0023","Power Generation and Distribution","FUT","33,500","1,186,015","(165,500)","(3,501,980)","(132,000)","(2,315,965)","(14,474)"
"INDIVIDUALS","S0026","Commercial Banks","FUT","104,000","9,521,315","(169,000)","(18,806,600)","(65,000)","(9,285,285)","(58,033)"
"INDIVIDUALS","S0028","Technology and Communication","FUT","3,265,000","41,358,550","(3,607,000)","(44,804,990)","(342,000)","(3,446,440)","(21,540)"
"INDIVIDUALS","S0029","Textile Composite","FUT","93,500","5,431,945","(128,500)","(8,317,235)","(35,000)","(2,885,290)","(18,033)"
"INDIVIDUALS","S1111","All other Sectors","FUT","7,053,000","229,355,305","(6,309,500)","(221,032,515)","743,500","8,322,790","52,017"
"INDIVIDUALS","S0005","Cement","ODL","6,362","269,007","(5,046)","(265,084)","1,316","3,923","24"
"INDIVIDUALS","S0007","Fertilizer","ODL","3,747","290,408","(4,373)","(345,035)","(626)","(54,626)","(341)"
"INDIVIDUALS","S0008","Food and Personal Care Products","ODL","1,760","45,563","(1,858)","(50,306)","(98)","(4,743)","(29)"
"INDIVIDUALS","S0019","Oil and Gas Exploration Companies","ODL","1,035","232,019","(1,042)","(223,040)","(7)","8,979","56"
"INDIVIDUALS","S0020","Oil and Gas Marketing Companies","ODL","4,801","203,814","(5,057)","(227,670)","(256)","(23,856)","(149)"
"INDIVIDUALS","S0023","Power Generation and Distribution","ODL","4,388","198,575","(4,799)","(213,892)","(411)","(15,318)","(95)"
"INDIVIDUALS","S0026","Commercial Banks","ODL","2,157","71,704","(1,617)","(53,218)","540","18,486","115"
"INDIVIDUALS","S0028","Technology and Communication","ODL","2,123","100,699","(1,954)","(86,726)","169","13,973","87"
"INDIVIDUALS","S0029","Textile Composite","ODL","417","12,113","(502)","(25,713)","(85)","(13,600)","(85)"
"INDIVIDUALS","S1111","All other Sectors","ODL","13,260","556,027","(13,214)","(543,664)","46","12,363","77"
"INDIVIDUALS","S0019","Oil and Gas Exploration Companies","OMKT","50","17,400","0","0","50","17,400","108"
"INDIVIDUALS","S1111","All other Sectors","OMKT","100,000","6,007,105","(1,500)","(6,000)","98,500","6,001,105","37,506"
"INDIVIDUALS","S0005","Cement","REG","6,488,100","230,806,880","(5,365,300)","(180,958,378)","1,122,800","49,848,502","311,553"
"INDIVIDUALS","S0007","Fertilizer","REG","1,666,200","141,359,446","(806,000)","(83,862,064)","860,200","57,497,382","359,358"
"INDIVIDUALS","S0008","Food and Personal Care Products","REG","272,360","5,840,150","(325,260)","(5,227,935)","(52,900)","612,215","3,826"
"INDIVIDUALS","S0019","Oil and Gas Exploration Companies","REG","2,435,440","297,440,947","(1,502,360)","(187,659,029)","933,080","109,781,919","686,136"
"INDIVIDUALS","S0020","Oil and Gas Marketing Companies","REG","2,405,300","119,263,543","(1,847,100)","(95,485,425)","558,200","23,778,118","148,613"
"INDIVIDUALS","S0023","Power Generation and Distribution","REG","3,306,500","62,950,875","(1,835,000)","(34,690,550)","1,471,500","28,260,325","176,627"
"INDIVIDUALS","S0026","Commercial Banks","REG","3,815,700","59,761,248","(3,174,200)","(80,134,128)","641,500","(20,372,880)","(127,330)"
"INDIVIDUALS","S0028","Technology and Communication","REG","1,966,000","23,079,760","(1,661,000)","(21,588,240)","305,000","1,491,520","9,322"
"INDIVIDUALS","S0029","Textile Composite","REG","373,100","18,594,363","(211,500)","(8,409,230)","161,600","10,185,133","63,657"
"INDIVIDUALS","S1111","All other Sectors","REG","10,769,310","206,254,765","(10,631,250)","(247,611,028)","138,060","(41,356,263)","(258,476)"
"","","","TOTAL","54,723,610","2,063,438,572","(48,056,432)","(1,836,404,880)","6,667,178","227,033,691","1,418,961"
"INSURANCE COMPANIES","S0005","Cement","FUT","17,000","5,678,170","0","0","17,000","5,678,170","35,488"
"INSURANCE COMPANIES","S0005","Cement","REG","1,000","334,000","(17,000)","(784,480)","(16,000)","(450,480)","(2,815)"
"INSURANCE COMPANIES","S0007","Fertilizer","REG","288,500","23,727,902","(15,500)","(3,427,750)","273,000","20,300,152","126,875"
"INSURANCE COMPANIES","S0008","Food and Personal Care Products","REG","500","10,475","0","0","500","10,475","65"
"INSURANCE COMPANIES","S0019","Oil and Gas Exploration Companies","REG","477,600","51,951,700","(4,995,820)","(546,858,500)","(4,518,220)","(494,906,800)","(3,093,167)"
"INSURANCE COMPANIES","S0020","Oil and Gas Marketing Companies","REG","300,500","5,086,000","(206,500)","(4,132,430)","94,000","953,570","5,959"
"INSURANCE COMPANIES","S0023","Power Generation and Distribution","REG","525,000","21,768,990","0","0","525,000","21,768,990","136,056"
"INSURANCE COMPANIES","S0026","Commercial Banks","REG","317,200","27,842,225","(120,300)","(9,951,320)","196,900","17,890,905","111,818"
"INSURANCE COMPANIES","S1111","All other Sectors","REG","11,100","7,032,198","(92,800)","(1,984,300)","(81,700)","5,047,898","31,549"
